gene,gene_name,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used,q_value
ENSG00000179403,VWA1,38384,detect_continuous,1e-06,0.1527198832847019,0.0708542103482962,1,0.017549076341408,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000215915,ATAD3C,38384,detect_continuous,1e-06,0.056794497707378,0.094997113506399,1,0.0794563075815278,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000160072,ATAD3B,38384,detect_continuous,1e-06,0.0553355564818674,0.0767151001416878,1,0.0182002587367417,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000197785,ATAD3A,38384,detect_continuous,1e-06,0.0562994997915798,0.0476672895690712,1,0.0074901316512204,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000205090,TMEM240,38384,detect_continuous,1e-06,0.0114891621508962,0.1186018354952276,1,0.0971950370814107,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000160075,SSU72,38384,detect_continuous,1e-06,0.314037098791163,0.064937419922307,1,0.0020226121461105,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000228594,FNDC10,38384,detect_continuous,1e-06,0.0568205502292621,0.0859670318012014,1,0.0594681758177814,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272106,ENSG00000272106,38384,detect_continuous,1e-06,0.0473113797415589,0.1246734357721478,1,0.1171676292556976,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000197530,MIB2,38384,detect_continuous,1e-06,0.1246092121717382,0.0592832614997846,1,0.0180246319172676,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000189409,MMP23B,38384,detect_continuous,1e-06,0.0051844518549395,0.1029878490496908,-1,-0.0415944284362321,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000248333,CDK11B,38384,detect_continuous,1e-06,0.0433774489370571,0.0520321984146385,1,0.0266488318416795,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000189339,SLC35E2B,38384,detect_continuous,1e-06,0.0572894956231763,0.0804091336469105,1,0.0052384542697658,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000008128,CDK11A,38384,detect_continuous,1e-06,0.0520789912463526,0.0566330892747327,1,0.0170598825036587,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000215790,SLC35E2A,38384,detect_continuous,1e-06,0.0857649020425177,0.0784357635090285,1,0.0208507620027939,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000008130,NADK,38384,detect_continuous,1e-06,0.0783399333055439,0.0628265063601735,1,0.035376260396948,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000078369,GNB1,38384,detect_continuous,1e-06,0.2819664443518132,0.0498635052275859,-1,-0.0438080989246623,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000067606,PRKCZ,38384,detect_continuous,1e-06,0.0695341809087119,0.0542323530041492,1,0.0262765943441686,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000162585,FAAP20,38384,detect_continuous,1e-06,0.2605512713630679,0.0382466190755067,-1,-0.0011996898253167,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000157933,SKI,38384,detect_continuous,1e-06,0.0912098791162984,0.0617667512490735,1,0.0355564670123187,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116151,MORN1,38384,detect_continuous,1e-06,0.0535900375156315,0.0708824990764304,1,0.056475384166226,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272420,ENSG00000272420,38384,detect_continuous,1e-06,0.0062786577740725,0.1183045607288406,1,0.0870736711374893,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000157916,RER1,38384,detect_continuous,1e-06,0.3808618174239266,0.0766485166900601,1,0.0410591131525185,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000157911,PEX10,38384,detect_continuous,1e-06,0.0814141308878699,0.0856109145349097,1,0.0707756082320995,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000157881,PANK4,38384,detect_continuous,1e-06,0.0441329720716965,0.0846779571211269,1,0.0676069611245833,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000272449,ENSG00000272449,38384,detect_continuous,1e-06,0.0541110879533138,0.1367924458302981,1,0.1214254283168566,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000157873,TNFRSF14,38384,detect_continuous,1e-06,0.0572634431012922,0.0681051375566344,1,0.0129707708920018,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000157870,PRXL2B,38384,detect_continuous,1e-06,0.0527042517715714,0.0686604492538021,1,0.0466803536778946,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000237058,MMEL1-AS1,38384,detect_continuous,1e-06,0.0064870779491454,0.1191252851482059,-1,-0.0769492119828392,1.0,0.6388888888888888,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000215912,TTC34,38384,detect_continuous,1e-06,0.0067215506461025,0.1075152359692201,1,0.0178454499338383,1.0,0.9166666666666666,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000177133,PRDM16-DT,38384,detect_continuous,1e-06,0.4805387661525636,0.1026654027866477,-1,-0.0533928783627379,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000142611,PRDM16,38384,detect_continuous,1e-06,0.2010473113797415,0.0820967658854025,-1,-0.0197780545015002,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000130762,ARHGEF16,38384,detect_continuous,1e-06,0.083863067944977,0.0584054408212332,1,0.0151242408062765,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000162591,MEGF6,38384,detect_continuous,1e-06,0.0103167986661108,0.1029322694202497,-1,-0.0269701913990121,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000158109,TPRG1L,38384,detect_continuous,1e-06,0.081205710712797,0.0874090409568679,1,0.0714425631558316,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116213,WRAP73,38384,detect_continuous,1e-06,0.0459305960817007,0.0718156349362308,1,0.0507259298751601,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000235169,SMIM1,38384,detect_continuous,1e-06,0.0978532721967486,0.1396375437154779,1,0.1283210201780632,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000130764,LRRC47,38384,detect_continuous,1e-06,0.0838109629012088,0.0701824194911966,1,0.0529845402094982,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116198,CEP104,38384,detect_continuous,1e-06,0.101682992913714,0.0711442842683731,1,0.0463243907848609,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000169598,DFFB,38384,detect_continuous,1e-06,0.0197999166319299,0.0795489728151597,1,0.0287315083179629,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000198912,C1orf174,38384,detect_continuous,1e-06,0.0679970821175489,0.0681086298995067,1,0.0569871174897505,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000196581,AJAP1,38384,detect_continuous,1e-06,0.0603897457273864,0.1511930040166436,1,0.1319313529739771,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000284692,ENSG00000284692,38384,detect_continuous,1e-06,0.0076073363901625,0.1752905047675996,1,0.1349595166759764,1.0,0.6527777777777778,low_coverage_expr,,III: Patchy,0.0711233847436431,0.17284353444795048,
ENSG00000131697,NPHP4,38384,detect_continuous,1e-06,0.0381148395164651,0.0779133098576856,1,0.026727833918345,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116254,CHD5,38384,detect_continuous,1e-06,0.0057055022926219,0.105451274593005,1,0.0798938694163411,1.0,0.9583333333333334,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116251,RPL22,38384,detect_continuous,1e-06,0.7168351396415173,0.1545162995041853,1,0.0597667333080927,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000158286,RNF207,38384,detect_continuous,1e-06,0.0414235097957482,0.1028293571437457,-1,-0.0288033818095142,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116237,ICMT,38384,detect_continuous,1e-06,0.1515735723218007,0.0548780352862048,1,0.0334269347304248,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000097021,ACOT7,38384,detect_continuous,1e-06,0.0183930804501875,0.1308987474258315,-1,-0.0160381445749239,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000187017,ESPN,38384,detect_continuous,1e-06,0.0192528136723634,0.1453496030033474,-1,-0.1390487716865799,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000215788,TNFRSF25,38384,detect_continuous,1e-06,0.0178720300125052,0.096472673682792,-1,-0.0075862003327812,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171680,PLEKHG5,38384,detect_continuous,1e-06,0.0075812838682784,0.0939205797278851,-1,-0.0772638089272007,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000162408,NOL9,38384,detect_continuous,1e-06,0.0787307211338057,0.0539186509758465,1,0.022457611287471,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000204859,ZBTB48,38384,detect_continuous,1e-06,0.0527563568153397,0.070463087982697,1,0.0424484597845236,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000162413,KLHL21,38384,detect_continuous,1e-06,0.1519904126719466,0.0626676077460883,-1,-0.0047716599519857,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116273,PHF13,38384,detect_continuous,1e-06,0.0384014172571905,0.0755752361845925,1,0.032770728141251,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000041988,THAP3,38384,detect_continuous,1e-06,0.0745623176323468,0.0652481953768265,1,0.0345755766293305,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000007923,DNAJC11,38384,detect_continuous,1e-06,0.2989526886202584,0.0823138897804561,-1,-0.0584325614325846,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000237436,CAMTA1-DT,38384,detect_continuous,1e-06,0.0118017924135056,0.0863875449516873,1,0.0701115448835962,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171735,CAMTA1,38384,detect_continuous,1e-06,0.4435962901208837,0.097232323417575,-1,-0.0854335517393871,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000049245,VAMP3,38384,detect_continuous,1e-06,0.1078313880783659,0.049131801894792,1,0.0127181079988676,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000049246,PER3,38384,detect_continuous,1e-06,0.1547519799916631,0.0926407665754224,-1,-0.0565759975321852,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116288,PARK7,38384,detect_continuous,1e-06,0.5219883284701959,0.1487764670041986,-1,-0.0136633613152664,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116285,ERRFI1,38384,detect_continuous,1e-06,0.1000937890787828,0.0845400220802614,1,0.0682754920688042,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000142599,RERE,38384,detect_continuous,1e-06,0.4808774489370571,0.1495043623176851,-1,-0.1052064822982966,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000074800,ENO1,38384,detect_continuous,1e-06,0.7311119216340142,0.1365820649286474,-1,-0.095612835082102,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000230679,ENO1-AS1,38384,detect_continuous,1e-06,0.0102386411004585,0.0660581865232345,1,0.0374657199253808,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000180758,GPR157,38384,detect_continuous,1e-06,0.0362651104626927,0.0879251985787708,1,0.049995181866071,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000228526,MIR34AHG,38384,detect_continuous,1e-06,0.0098739057940808,0.1295029730521186,-1,-0.0347518466871329,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000049239,H6PD,38384,detect_continuous,1e-06,0.070211546477699,0.0743745048945933,1,0.0516555412427344,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171621,SPSB1,38384,detect_continuous,1e-06,0.0115412671946644,0.1151265965836349,1,0.0246284855440344,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171612,SLC25A33,38384,detect_continuous,1e-06,0.1944560233430596,0.0973451317576191,1,0.0897259631184714,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000188807,TMEM201,38384,detect_continuous,1e-06,0.0666684035014589,0.1060386679689748,1,0.0940796993092512,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171608,PIK3CD,38384,detect_continuous,1e-06,0.025974364318466,0.0648689033909478,1,0.0205929642895157,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000231789,PIK3CD-AS2,38384,detect_continuous,1e-06,0.016074406002501,0.0891951559535922,1,0.0612720195099707,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171603,CLSTN1,38384,detect_continuous,1e-06,0.3618955814922884,0.0537239931714381,-1,-0.0007158503541885,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000178585,CTNNBIP1,38384,detect_continuous,1e-06,0.0894904126719466,0.0593084610317253,1,0.0444829348848175,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000162441,LZIC,38384,detect_continuous,1e-06,0.1424812421842434,0.0506229415818299,1,0.0359668861902128,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000173614,NMNAT1,38384,detect_continuous,1e-06,0.0607284285118799,0.0612199427426748,1,0.0348656259066775,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000162444,RBP7,38384,detect_continuous,1e-06,0.0279804085035431,0.1061031698613253,1,0.0653721820492957,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000130939,UBE4B,38384,detect_continuous,1e-06,0.1260681533972488,0.0747269779747012,-1,-0.0167762119682161,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
