archetype,ensg_id,gene_name,gene,coverage_expr,spatial_score,c_cut_used,s_cut_used
I: Ubiquitous,ENSG00000105810,CDK6,CDK6,0.1725975565888168,0.1014956002393698,0.0597574352620383,0.2120822446921291
III: Patchy,ENSG00000102243,VGLL1,VGLL1,0.0080114754171163,0.3339342870870452,0.0597574352620383,0.2120822446921291
II: Gradient,ENSG00000170927,PKHD1,PKHD1,0.3611381268957309,0.2988616458426244,0.0597574352620383,0.2120822446921291
IV: Basal,ENSG00000147144,CCDC120,CCDC120,0.0259529170385963,0.1299842535857206,0.0597574352620383,0.2120822446921291
