shape,N,pattern,distortion_kind,distortion_strength,category,baseline_s_mean,baseline_s_std,distorted_s_mean,delta_mean,delta_median,delta_std,abs_delta_median,abs_delta_iqr,correlation,is_stable,n_pairs,abstain_rate,schema_version
disk,2000,wedge,none,0.0,invariance,0.030361747663288023,0.006200496552880289,0.030361747663288023,0.0,0.0,0.0,0.0,0.0,1.0,True,5,0.0,2.0
disk,2000,wedge,rotate,0.0,invariance,0.031434575349123514,0.009871770999725178,0.031434575349123514,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,True,5,0.0,2.0
disk,2000,wedge,rotate,15.0,invariance,0.029416889572311023,0.007515501145886376,0.029416889572311023,-6.938893903907229e-19,0.0,1.387778780781446e-18,0.0,0.0,1.0,True,5,0.0,2.0
disk,2000,wedge,rotate,45.0,invariance,0.025556555531149,0.002425890631920839,0.025556555531149005,6.938893903907229e-19,0.0,1.3877787807814458e-18,0.0,0.0,1.0,True,5,0.0,2.0
disk,2000,wedge,rotate,90.0,invariance,0.03020563551873981,0.005539641359744888,0.03020563551873981,-1.3877787807814458e-18,0.0,2.775557561562892e-18,0.0,0.0,1.0,True,5,0.0,2.0
disk,2000,wedge,rotate,180.0,invariance,0.02851621889833166,0.004919237256722471,0.02851621889833166,-6.938893903907229e-19,0.0,1.387778780781446e-18,0.0,0.0,1.0,True,5,0.0,2.0
