gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used
LINC01409,225177,detect_continuous,1e-06,0.0227865190494588,0.1132766632742605,1,0.0054345139324933,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
LINC01128,225177,detect_continuous,1e-06,0.0334270373972475,0.0812127998683158,1,0.0202388128419123,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
LINC00115,225177,detect_continuous,1e-06,0.0089129884490867,0.101489741639591,1,0.0535423960939144,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
FAM41C,225177,detect_continuous,1e-06,0.0083889562433108,0.0826106679130672,1,0.0280007833582033,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
LINC02593,225177,detect_continuous,1e-06,0.0122481425722875,0.1817110525414806,1,0.1360935607035646,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
SAMD11,225177,detect_continuous,1e-06,0.0410388272336872,0.1882222546336912,1,0.140613527215277,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
NOC2L,225177,detect_continuous,1e-06,0.093548630632791,0.0825972398761142,1,0.0452215123894007,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
KLHL17,225177,detect_continuous,1e-06,0.017417409415704,0.088104123958794,1,0.0403340368080098,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
PLEKHN1,225177,detect_continuous,1e-06,0.005284731566723,0.2004203067398316,1,0.1741466350293192,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
HES4,225177,detect_continuous,1e-06,0.1324380376326178,0.1653748334724294,1,0.1062413535147464,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ISG15,225177,detect_continuous,1e-06,0.1188487278896157,0.1092464085259056,-1,-0.0655092801715997,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
AGRN,225177,detect_continuous,1e-06,0.2147688263010876,0.172760487760793,1,0.156774594006628,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
C1orf159,225177,detect_continuous,1e-06,0.0296122605772347,0.1037521655845772,1,0.027899404205905,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ENSG00000272141,225177,detect_continuous,1e-06,0.057501432206664,0.2353952808583591,1,0.1605446836394687,1.0,1.0,,,Focal Marker,0.0597574352620383,0.2120822446921291
TNFRSF18,225177,detect_continuous,1e-06,0.0091616816992854,0.1804630397200519,-1,-0.0213350735903238,1.0,0.9444444444444444,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
TNFRSF4,225177,detect_continuous,1e-06,0.0196512077165962,0.1635211661396068,-1,-0.0695698676939041,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
SDF4,225177,detect_continuous,1e-06,0.2150885747656288,0.0535429549069242,1,0.0397637483920793,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
B3GALT6,225177,detect_continuous,1e-06,0.0546148141240002,0.0735054182063734,1,0.0383597239353758,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
C1QTNF12,225177,detect_continuous,1e-06,0.0234615435857125,0.1389832135889263,1,0.0193395987736985,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
UBE2J2,225177,detect_continuous,1e-06,0.1292405529872056,0.037996723067119,1,0.0056592774219648,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
SCNN1D,225177,detect_continuous,1e-06,0.0105961088388245,0.136385091362537,1,0.0626232383602183,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ACAP3,225177,detect_continuous,1e-06,0.0598329314272772,0.1010389861853039,1,0.0332881279735631,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PUSL1,225177,detect_continuous,1e-06,0.037885752097239,0.06254904062196,1,0.0159259510134658,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
INTS11,225177,detect_continuous,1e-06,0.1272998574454762,0.0525631811952275,1,0.0139131245091637,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CPTP,225177,detect_continuous,1e-06,0.0787158546387952,0.087785645802307,1,0.0190748837798152,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
DVL1,225177,detect_continuous,1e-06,0.0700870870470785,0.1055605201370812,1,0.0363487332545317,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
MXRA8,225177,detect_continuous,1e-06,0.0274806041469599,0.1883752144305203,1,0.1685224475874846,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
AURKAIP1,225177,detect_continuous,1e-06,0.4940646691269534,0.0909089873457827,1,0.032103264229887,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CCNL2,225177,detect_continuous,1e-06,0.1769363656146054,0.0865149297425898,1,0.0363617046477045,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
MRPL20-AS1,225177,detect_continuous,1e-06,0.035216740608499,0.0531143525810755,1,0.0121002821732801,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MRPL20,225177,detect_continuous,1e-06,0.4133859141919467,0.0986563237722577,1,0.0329146763893077,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ANKRD65,225177,detect_continuous,1e-06,0.0179370006705835,0.1417802207903077,1,0.0572933738206978,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
VWA1,225177,detect_continuous,1e-06,0.1223082286379159,0.1450255627730202,1,0.0829655863736868,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ATAD3C,225177,detect_continuous,1e-06,0.0388139108345879,0.1044459365516757,1,0.0661463948837235,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ATAD3B,225177,detect_continuous,1e-06,0.0416516784573912,0.0985897330729328,1,0.026516155127737,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ATAD3A,225177,detect_continuous,1e-06,0.0428374123467316,0.0825717642012787,1,0.0210070480832468,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
TMEM240,225177,detect_continuous,1e-06,0.0075007660640296,0.1530143051213447,1,0.0780740072949867,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
SSU72,225177,detect_continuous,1e-06,0.3210496631538745,0.0799799261130351,1,0.0030958904737474,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
FNDC10,225177,detect_continuous,1e-06,0.0253000972568246,0.1091460254396313,1,0.0221735543082053,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ENSG00000272106,225177,detect_continuous,1e-06,0.0303849860332094,0.1131925929019093,1,0.0709113881185732,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MIB2,225177,detect_continuous,1e-06,0.1054015285752985,0.0651262312949708,1,0.0173266013329801,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
MMP23B,225177,detect_continuous,1e-06,0.0111778734062537,0.118018810565912,1,0.0158111499449264,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
CDK11B,225177,detect_continuous,1e-06,0.0464168187692348,0.0624877528557024,1,0.0050035570104193,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
SLC35E2B,225177,detect_continuous,1e-06,0.042677538114461,0.0883369411963623,1,0.0271096695741947,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
CDK11A,225177,detect_continuous,1e-06,0.050609076415442,0.0584084451026505,-1,-0.0062672806132892,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
SLC35E2A,225177,detect_continuous,1e-06,0.0529894260959156,0.1087712537427341,1,0.0361786830907745,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
NADK,225177,detect_continuous,1e-06,0.075256353890495,0.0802444372516166,1,0.0012985538321647,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
GNB1,225177,detect_continuous,1e-06,0.300203839646145,0.0665048231860076,-1,-0.006951365362322,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
TMEM52,225177,detect_continuous,1e-06,0.0063772054872389,0.1261952923301269,1,0.0427407363582546,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
PRKCZ,225177,detect_continuous,1e-06,0.0594732144046683,0.1243917144723386,1,0.0502366738132667,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
FAAP20,225177,detect_continuous,1e-06,0.2702851534570582,0.0511140132952407,1,0.0155414268232012,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
SKI,225177,detect_continuous,1e-06,0.09010245273718,0.0891926123841883,1,0.0284145864368139,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
MORN1,225177,detect_continuous,1e-06,0.0375748855344906,0.142197224573707,1,0.0623035577515067,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
RER1,225177,detect_continuous,1e-06,0.3390221914316293,0.076801963757426,1,0.0340948344788195,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PEX10,225177,detect_continuous,1e-06,0.0704201583643089,0.0908242073496844,1,0.0559331340280645,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PLCH2,225177,detect_continuous,1e-06,0.0104007069993827,0.1331406107382982,1,0.0613524701927138,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
PANK4,225177,detect_continuous,1e-06,0.029385772081518,0.0712599063382891,1,0.013176786755787,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ENSG00000272449,225177,detect_continuous,1e-06,0.0427885618868712,0.1138287737759161,-1,-0.034767614083855,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
TNFRSF14-AS1,225177,detect_continuous,1e-06,0.0247494193456702,0.0683627514894209,1,0.0090230098008562,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
TNFRSF14,225177,detect_continuous,1e-06,0.1477637591761147,0.0721830120847837,-1,-0.0264892601193521,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PRXL2B,225177,detect_continuous,1e-06,0.0530249537030869,0.0953936592833941,1,0.0649442031932727,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MMEL1,225177,detect_continuous,1e-06,0.0099299662043636,0.1205851378315867,1,0.0523384899230991,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
PRDM16-DT,225177,detect_continuous,1e-06,0.2020987933936414,0.1636613226195351,1,0.0594975604810138,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PRDM16,225177,detect_continuous,1e-06,0.0873801498376832,0.1584137637115058,1,0.0286588798074238,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ARHGEF16,225177,detect_continuous,1e-06,0.0548324207179241,0.1837139911724359,1,0.1202850636472893,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MEGF6,225177,detect_continuous,1e-06,0.0196734124710783,0.1236436790343572,1,0.0869170841813312,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
TPRG1L,225177,detect_continuous,1e-06,0.0941836866109771,0.0765059123081864,1,0.0227983895808868,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
WRAP73,225177,detect_continuous,1e-06,0.0477446630872602,0.0527594039058769,1,0.0094959648757251,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
SMIM1,225177,detect_continuous,1e-06,0.088548119923438,0.1258750193789735,1,0.0464655898595902,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
LRRC47,225177,detect_continuous,1e-06,0.0742749037423893,0.0778871698323738,1,0.0299555888055321,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CEP104,225177,detect_continuous,1e-06,0.0851419105858946,0.0884381210229894,1,0.0307329751824029,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
DFFB,225177,detect_continuous,1e-06,0.0157032023696914,0.0705566997789632,1,0.009288505803942,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
C1orf174,225177,detect_continuous,1e-06,0.0701048508506641,0.0461020600406137,1,0.0082829153327583,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
AJAP1,225177,detect_continuous,1e-06,0.0354476700551122,0.1612974148879032,1,0.0905829275756323,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
NPHP4,225177,detect_continuous,1e-06,0.0260150903511459,0.1209234543233434,1,0.0339502816213287,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
KCNAB2,225177,detect_continuous,1e-06,0.0341198257370868,0.1217937611874599,-1,-0.1023828186373035,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
RPL22,225177,detect_continuous,1e-06,0.7714819897236396,0.1614819870102858,-1,-0.0064805930697209,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
RNF207,225177,detect_continuous,1e-06,0.0333915097900762,0.1591196980585235,1,0.0833988524265255,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
ICMT,225177,detect_continuous,1e-06,0.112178419643214,0.1016583340021647,1,0.0706085449906994,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ACOT7,225177,detect_continuous,1e-06,0.0761401031188798,0.1120687188317683,1,0.0293217781203073,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ESPN,225177,detect_continuous,1e-06,0.0439920595797972,0.1644348947073969,1,0.0333890704256027,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
TNFRSF25,225177,detect_continuous,1e-06,0.0284842590495476,0.1100818935526881,-1,-0.0188630015207151,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
PLEKHG5,225177,detect_continuous,1e-06,0.0106405183477886,0.1276135639129205,1,0.035200617522971,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
NOL9,225177,detect_continuous,1e-06,0.0642783232745795,0.0776089342237304,1,0.0146881587751892,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ZBTB48,225177,detect_continuous,1e-06,0.0507645096968162,0.0807975141190314,1,0.0303652214924327,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
KLHL21,225177,detect_continuous,1e-06,0.065366356244199,0.1146554566716317,1,0.0304898766498874,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PHF13,225177,detect_continuous,1e-06,0.0289816455499451,0.1015206365789693,1,0.0568006967070023,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
THAP3,225177,detect_continuous,1e-06,0.0659525617625245,0.0718854011726365,1,0.0395992762059109,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
