archetype,gene_name,ensg_id,gene,coverage_expr,spatial_score,c_cut_used,s_cut_used
I: Ubiquitous,SLIT2,ENSG00000145147,SLIT2,0.1093406520204106,0.2120760085422909,0.0597574352620383,0.2120822446921291
II: Gradient,PKHD1,ENSG00000170927,PKHD1,0.3611381268957309,0.2988616458426244,0.0597574352620383,0.2120822446921291
III: Patchy,VGLL1,ENSG00000102243,VGLL1,0.0080114754171163,0.3339342870870452,0.0597574352620383,0.2120822446921291
IV: Basal,F11-AS1,ENSG00000251165,F11-AS1,0.0052358811068626,0.2119963118438651,0.0597574352620383,0.2120822446921291
