gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000103226,38384,detect_continuous,1e-06,0.02047728220091705,0.09626605742251675,-1,-0.030118979480761848,1.0,1.0,,
ENSG00000185164,38384,detect_continuous,1e-06,0.01320862859524802,0.11045472339210574,-1,-0.0616240846698797,1.0,1.0,,
ENSG00000134419,38384,detect_continuous,1e-06,0.7934295539808254,0.16867375961563572,1,0.05040887258594318,1.0,1.0,,
ENSG00000170540,38384,detect_continuous,1e-06,0.43627553147144643,0.08288984336584032,-1,-0.014221627409121036,1.0,1.0,,
ENSG00000157106,38384,detect_continuous,1e-06,0.31356815339724886,0.085576317729516,-1,-0.02897059723393639,1.0,1.0,,
ENSG00000167186,38384,detect_continuous,1e-06,0.06903918299291371,0.08086424850299288,1,0.06262577026828293,1.0,1.0,,
ENSG00000205730,38384,detect_continuous,1e-06,0.06247394747811588,0.0570886110783462,-1,-0.01076375708017069,1.0,1.0,,
ENSG00000103528,38384,detect_continuous,1e-06,0.04150166736140058,0.11183577722355446,-1,-0.08700683122510615,1.0,1.0,,
ENSG00000006007,38384,detect_continuous,1e-06,0.10121404751979991,0.07546737542213937,1,0.05221306178739986,1.0,1.0,,
ENSG00000103540,38384,detect_continuous,1e-06,0.06619945810754481,0.07049068885603216,1,0.017221536293506836,1.0,1.0,,
ENSG00000103544,38384,detect_continuous,1e-06,0.11887765735723219,0.06652315219487898,-1,-0.011294247226521082,1.0,1.0,,
ENSG00000103550,38384,detect_continuous,1e-06,0.06442788661942477,0.0720875499140919,1,0.05016969682692951,1.0,1.0,,
ENSG00000174628,38384,detect_continuous,1e-06,0.11489162150896207,0.05305568336269133,1,0.006665073171020567,1.0,1.0,,
ENSG00000167191,38384,detect_continuous,1e-06,0.06057211338057524,0.11947207899747579,1,0.11096246620470072,1.0,1.0,,
ENSG00000169347,38384,detect_continuous,1e-06,0.3132294706127553,0.11132395775256777,1,0.06802951091174841,1.0,1.0,,
ENSG00000169344,38384,detect_continuous,1e-06,0.8863588995414756,0.21885846643103332,1,0.2010641988432241,1.0,1.0,,
ENSG00000183549,38384,detect_continuous,1e-06,0.007398916215089621,0.08657190947420891,-1,-0.02030332349248655,1.0,1.0,low_coverage_expr,
ENSG00000183747,38384,detect_continuous,1e-06,0.018419132972071695,0.13678133571794895,1,0.014349060890846001,1.0,1.0,,
