gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000160613,38384,detect_continuous,1e-06,0.08831804918716132,0.08197787742229148,1,0.023954855996163028,1.0,1.0,,
ENSG00000167257,38384,detect_continuous,1e-06,0.06557419758232597,0.06392989578195744,1,0.014775919808671002,1.0,1.0,,
ENSG00000186318,38384,detect_continuous,1e-06,0.09431012922050855,0.08553031141951134,1,0.06867702762407633,1.0,1.0,,
ENSG00000278768,38384,detect_continuous,1e-06,0.01979991663192997,0.0746057757913339,1,0.03741944102039393,1.0,1.0,,
ENSG00000110274,38384,detect_continuous,1e-06,0.07140996248436848,0.07752991545141028,1,0.01869156262650354,1.0,1.0,,
ENSG00000177103,38384,detect_continuous,1e-06,0.12093580658607753,0.10333413872859055,1,0.010308533809668962,1.0,1.0,,
ENSG00000137731,38384,detect_continuous,1e-06,0.9777250937890788,0.18179583383266282,1,0.054855539333889675,1.0,1.0,,
ENSG00000254844,38384,detect_continuous,1e-06,0.005887869945810755,0.06120773445542288,-1,-0.017418258908492277,1.0,0.4444444444444444,low_coverage_expr,
ENSG00000254528,38384,detect_continuous,1e-06,0.07604731137974156,0.1152497856028834,1,0.10948140048878631,1.0,1.0,,
ENSG00000137726,38384,detect_continuous,1e-06,0.008076281784076699,0.1443986491126258,-1,-0.005488155050710688,1.0,0.9722222222222222,low_coverage_expr,
ENSG00000137648,38384,detect_continuous,1e-06,0.1140839933305544,0.15111103882881538,1,0.12283502690425406,1.0,1.0,,
ENSG00000160588,38384,detect_continuous,1e-06,0.029256982075864944,0.08108012385272373,1,0.0011102574833487585,1.0,1.0,,
ENSG00000149573,38384,detect_continuous,1e-06,0.031315131304710295,0.0901583125452636,-1,-0.03935557309503678,1.0,1.0,,
ENSG00000110344,38384,detect_continuous,1e-06,0.16663192997082119,0.059326648202562025,1,0.0062746791666006526,1.0,1.0,,
ENSG00000167283,38384,detect_continuous,1e-06,0.7854574822842851,0.18391191968631768,1,0.04761151793801224,1.0,1.0,,
ENSG00000118058,38384,detect_continuous,1e-06,0.27719883284701957,0.08073081384972902,-1,-0.03928759298025326,1.0,1.0,,
ENSG00000255435,38384,detect_continuous,1e-06,0.021363067944977075,0.07600998885287594,1,0.05640816731851623,1.0,1.0,,
ENSG00000172425,38384,detect_continuous,1e-06,0.013260733639016257,0.1078223129350568,1,0.08512486546201434,1.0,1.0,,
ENSG00000149582,38384,detect_continuous,1e-06,0.08016360983743226,0.08834375901844102,1,0.061981246657289754,1.0,1.0,,
ENSG00000118096,38384,detect_continuous,1e-06,0.06236973739057941,0.06368363245308743,1,0.04115879934176476,1.0,1.0,,
ENSG00000095139,38384,detect_continuous,1e-06,0.17525531471446437,0.038449823288949046,1,0.025207029626904295,1.0,1.0,,
