gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000160714,38384,detect_continuous,1e-06,0.1298197165485619,0.07148789707767599,1,0.04945976539387582,1.0,1.0,,
ENSG00000160710,38384,detect_continuous,1e-06,0.21394330971238015,0.042654445684425356,-1,-0.009368532726973676,1.0,1.0,,
ENSG00000143603,38384,detect_continuous,1e-06,0.06776260942059191,0.11223007300617077,1,0.047823940489996525,1.0,1.0,,
ENSG00000163344,38384,detect_continuous,1e-06,0.26654335139641516,0.06881447689387943,-1,-0.015039576872787168,1.0,1.0,,
ENSG00000163346,38384,detect_continuous,1e-06,0.20927990829512297,0.07420666578697589,1,0.04776219314174947,1.0,1.0,,
ENSG00000163348,38384,detect_continuous,1e-06,0.07651625677365569,0.07129566909426273,1,0.06429280240317949,1.0,1.0,,
ENSG00000271380,38384,detect_continuous,1e-06,0.026703834931221342,0.07345320138548748,1,0.0451763308283692,1.0,1.0,,
ENSG00000160691,38384,detect_continuous,1e-06,0.07354626927886619,0.08556537878121953,1,0.07800927536281664,1.0,1.0,,
ENSG00000173207,38384,detect_continuous,1e-06,0.12064922884535223,0.09457159122385236,1,0.00625227096487011,1.0,1.0,,
ENSG00000160688,38384,detect_continuous,1e-06,0.06463630679449771,0.07116757537351696,1,0.051555375505377754,1.0,1.0,,
ENSG00000160685,38384,detect_continuous,1e-06,0.0664860358482701,0.06886780075347992,1,0.06312878034518396,1.0,1.0,,
ENSG00000143537,38384,detect_continuous,1e-06,0.03470195914964568,0.0813184903001729,1,0.02419764056898338,1.0,1.0,,
ENSG00000243364,38384,detect_continuous,1e-06,0.026651729887453107,0.0807357046745696,1,0.05151958698090499,1.0,1.0,,
ENSG00000169242,38384,detect_continuous,1e-06,0.061301583993330556,0.0674269836372568,1,0.03583868293591782,1.0,1.0,,
ENSG00000169241,38384,detect_continuous,1e-06,0.11601187994997916,0.07392993945794861,1,0.03904442852927708,1.0,1.0,,
ENSG00000179085,38384,detect_continuous,1e-06,0.43700500208420173,0.07432045758743408,1,0.04152950376197603,1.0,1.0,,
ENSG00000163463,38384,detect_continuous,1e-06,0.4702480200083368,0.06591040213640773,-1,-0.017466057634800393,1.0,1.0,,
