gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000196376,38384,detect_continuous,1e-06,0.043924551896623594,0.15754924850140592,1,0.11683200971929877,1.0,1.0,,
ENSG00000111860,38384,detect_continuous,1e-06,0.07216548561900792,0.08355873649324,-1,-0.01720324112698905,1.0,1.0,,
ENSG00000111877,38384,detect_continuous,1e-06,0.11851292205085452,0.08676027937500842,-1,-0.00798418859219338,1.0,1.0,,
ENSG00000111875,38384,detect_continuous,1e-06,0.07901729887453106,0.06816499571534904,1,0.05119551528506826,1.0,1.0,,
ENSG00000253194,38384,detect_continuous,1e-06,0.04845769070446019,0.09169915240241151,-1,-0.020732515604715514,1.0,1.0,,
ENSG00000111879,38384,detect_continuous,1e-06,0.2611504793664027,0.08216991743567703,1,0.007733956893958822,1.0,1.0,,
ENSG00000111885,38384,detect_continuous,1e-06,0.4613901625677366,0.06589815200647713,-1,-0.0059591736923538495,1.0,1.0,,
ENSG00000287100,38384,detect_continuous,1e-06,0.08360254272613589,0.1309597272734686,-1,-0.00937070000794987,1.0,1.0,,
ENSG00000286540,38384,detect_continuous,1e-06,0.01930491871613172,0.10245976765143631,1,0.016757971427547536,1.0,0.8472222222222222,,
ENSG00000146350,38384,detect_continuous,1e-06,0.13583784910379323,0.09303119409057861,-1,-0.02835653914280049,1.0,1.0,,
ENSG00000152661,38384,detect_continuous,1e-06,0.012843893288870362,0.12365254021906588,-1,-0.04385787889702084,1.0,0.9444444444444444,,
ENSG00000025156,38384,detect_continuous,1e-06,0.05114110045852439,0.0465232542704337,1,0.007528704820765971,1.0,1.0,,
ENSG00000111897,38384,detect_continuous,1e-06,0.4200448103376407,0.04760200561198923,1,0.003101510607040028,1.0,1.0,,
ENSG00000135549,38384,detect_continuous,1e-06,0.04767611504793664,0.07574515521627273,1,0.03099357452720611,1.0,1.0,,
ENSG00000172594,38384,detect_continuous,1e-06,0.07974676948728637,0.09507755115734638,1,0.08465780593860511,1.0,1.0,,
ENSG00000186439,38384,detect_continuous,1e-06,0.012114422676115047,0.11401148556700016,-1,-0.0359459850990632,1.0,0.9305555555555556,,
ENSG00000188580,38384,detect_continuous,1e-06,0.03806273447269696,0.11255841750995717,-1,-0.011126979012928704,1.0,1.0,,
ENSG00000236548,38384,detect_continuous,1e-06,0.012348895373072113,0.14321230200374183,-1,-0.07037093095837695,1.0,0.9722222222222222,,
ENSG00000146373,38384,detect_continuous,1e-06,0.07682888703626511,0.12117999903178699,-1,-0.07499606454659496,1.0,1.0,,
ENSG00000111907,38384,detect_continuous,1e-06,0.25145894122551066,0.02636296359144726,-1,-0.004560855574286228,1.0,1.0,,
ENSG00000111906,38384,detect_continuous,1e-06,0.3182836598582743,0.055024818574789025,-1,-0.018321867420536618,1.0,1.0,,
ENSG00000237742,38384,detect_continuous,1e-06,0.012974155898290955,0.11221244249497438,-1,-0.007741075110653855,1.0,1.0,,
ENSG00000135547,38384,detect_continuous,1e-06,0.015397040433513963,0.07780475356458598,-1,-0.03515662905954801,1.0,1.0,,
ENSG00000111912,38384,detect_continuous,1e-06,0.29098061692371824,0.06121083460102154,-1,-0.03392047342263996,1.0,1.0,,
ENSG00000111911,38384,detect_continuous,1e-06,0.12070133388912047,0.0693525617866799,1,0.054815417387934745,1.0,1.0,,
ENSG00000066651,38384,detect_continuous,1e-06,0.22600562734472696,0.11817913772908702,-1,-0.05865868348976506,1.0,1.0,,
ENSG00000203760,38384,detect_continuous,1e-06,0.017194664443518134,0.17560568783364364,-1,-0.11666065365335698,1.0,1.0,,
ENSG00000118518,38384,detect_continuous,1e-06,0.13828678616090037,0.05802890125169911,1,0.0075394792745343215,1.0,1.0,,
ENSG00000093144,38384,detect_continuous,1e-06,0.275088578574406,0.0502975766932716,-1,-0.038240555249299354,1.0,1.0,,
ENSG00000152894,38384,detect_continuous,1e-06,0.2677157148812005,0.158077905520697,-1,-0.09046278825006648,1.0,1.0,,
ENSG00000196569,38384,detect_continuous,1e-06,0.029934347644852023,0.10072277822928534,-1,-0.05752508961966724,1.0,1.0,,
ENSG00000226149,38384,detect_continuous,1e-06,0.11814818674447687,0.15476760067358952,-1,-0.06229917935843132,1.0,1.0,,
ENSG00000146376,38384,detect_continuous,1e-06,0.33889120466861195,0.08703360556225025,-1,-0.08141958326520346,1.0,1.0,,
ENSG00000198945,38384,detect_continuous,1e-06,0.04835348061692372,0.06636353173007083,1,0.012210918658925896,1.0,1.0,,
ENSG00000079819,38384,detect_continuous,1e-06,0.04215298040850354,0.12966731399198234,-1,-0.09823913161834032,1.0,1.0,,
ENSG00000118507,38384,detect_continuous,1e-06,0.11523030429345561,0.05091599943168007,1,0.024825927414544518,1.0,1.0,,
ENSG00000112282,38384,detect_continuous,1e-06,0.1510785744060025,0.08102825444479883,-1,-0.02123269193193296,1.0,1.0,,
ENSG00000154269,38384,detect_continuous,1e-06,0.006304710295956649,0.10864775651741468,-1,-0.009855714203252978,1.0,1.0,low_coverage_expr,
ENSG00000197594,38384,detect_continuous,1e-06,0.02740725302209254,0.08955669402822165,1,0.06445669265506077,1.0,1.0,,
ENSG00000118523,38384,detect_continuous,1e-06,0.039026677782409334,0.0661881880659463,1,0.018225813550321834,1.0,1.0,,
ENSG00000079931,38384,detect_continuous,1e-06,0.014120466861192163,0.21865270902465142,1,0.16651114309173104,1.0,1.0,,
ENSG00000079950,38384,detect_continuous,1e-06,0.22457273864110047,0.05118343434287596,-1,-0.029350887397559162,1.0,1.0,,
ENSG00000146409,38384,detect_continuous,1e-06,0.15740933722384326,0.07593270285773641,1,0.019039842288602907,1.0,1.0,,
ENSG00000112306,38384,detect_continuous,1e-06,0.8893549395581493,0.20795714604412627,1,0.08723274202273974,1.0,1.0,,
ENSG00000028839,38384,detect_continuous,1e-06,0.062421842434347646,0.05012867452290829,1,0.0028716173656521873,1.0,1.0,,
ENSG00000146411,38384,detect_continuous,1e-06,0.07044601917465611,0.11918834468077874,1,0.0839903297421887,1.0,1.0,,
ENSG00000118515,38384,detect_continuous,1e-06,0.07328574406002501,0.12159063618966046,1,0.10798363199925393,1.0,1.0,,
ENSG00000118514,38384,detect_continuous,1e-06,0.010108378491037932,0.09462201703686944,-1,-0.03712985337213704,1.0,1.0,,
ENSG00000112339,38384,detect_continuous,1e-06,0.1513651521467278,0.05253243046376717,-1,-0.027778996285414845,1.0,1.0,,
ENSG00000135541,38384,detect_continuous,1e-06,0.2240516882034181,0.09269125018579229,-1,-0.027430084639264888,1.0,1.0,,
ENSG00000231028,38384,detect_continuous,1e-06,0.16131721550646103,0.08393783983775802,-1,-0.021235189114962402,1.0,1.0,,
ENSG00000171408,38384,detect_continuous,1e-06,0.3003334722801167,0.13773790325859311,-1,-0.07614525689509609,1.0,1.0,,
ENSG00000286313,38384,detect_continuous,1e-06,0.0077115464776990415,0.0853001782044469,-1,-0.054344757929584264,1.0,0.6527777777777778,low_coverage_expr,
ENSG00000237596,38384,detect_continuous,1e-06,0.03720300125052105,0.12132219750659341,-1,-0.011793137153989306,1.0,1.0,,
ENSG00000029363,38384,detect_continuous,1e-06,0.32745414756148394,0.050048227768212,-1,-0.03239136642906838,1.0,1.0,,
ENSG00000260418,38384,detect_continuous,1e-06,0.013182576073363901,0.10309286804591225,1,0.0761869884173712,1.0,1.0,,
ENSG00000135525,38384,detect_continuous,1e-06,0.2440339724885369,0.09626077902375678,-1,-0.07444367443136242,1.0,1.0,,
ENSG00000272189,38384,detect_continuous,1e-06,0.009248645268862026,0.09450422626211025,1,0.08267399314252002,1.0,1.0,low_coverage_expr,
ENSG00000197442,38384,detect_continuous,1e-06,0.09519591496456857,0.13745302171440157,1,0.04603658169325996,1.0,1.0,,
ENSG00000112357,38384,detect_continuous,1e-06,0.10707586494372655,0.05739962229749476,1,0.04625306752486883,1.0,1.0,,
ENSG00000027697,38384,detect_continuous,1e-06,0.14091809087119633,0.06416812499835588,1,0.009345200485010707,1.0,1.0,,
ENSG00000118503,38384,detect_continuous,1e-06,0.01336494372655273,0.10983862006596018,-1,-0.026795048245715408,1.0,1.0,,
ENSG00000112378,38384,detect_continuous,1e-06,0.29329929137140476,0.05748417172363153,-1,-0.001478395094331539,1.0,1.0,,
ENSG00000112379,38384,detect_continuous,1e-06,0.1559243434764485,0.06461386439671082,-1,-0.022948251823616476,1.0,1.0,,
ENSG00000051620,38384,detect_continuous,1e-06,0.272665694039183,0.0693950268806544,-1,-0.01828796044772961,1.0,1.0,,
ENSG00000135540,38384,detect_continuous,1e-06,0.1536317215506461,0.09666962890884555,-1,-0.07485238262367212,1.0,1.0,,
ENSG00000225177,38384,detect_continuous,1e-06,0.006174447686536057,0.09704774776471271,-1,-0.03846953220134448,1.0,1.0,low_coverage_expr,
ENSG00000279968,38384,detect_continuous,1e-06,0.006356815339724885,0.09454154506450238,1,0.03320873836297263,1.0,1.0,low_coverage_expr,
ENSG00000024862,38384,detect_continuous,1e-06,0.1846863276365152,0.0485360581241856,1,0.03339522266125753,1.0,1.0,,
ENSG00000135597,38384,detect_continuous,1e-06,0.1241402667778241,0.08732107672583475,-1,-0.023165534435862254,1.0,1.0,,
ENSG00000146386,38384,detect_continuous,1e-06,0.04275218841183827,0.14816140912035186,1,0.0781830868288785,1.0,1.0,,
ENSG00000112406,38384,detect_continuous,1e-06,0.03860983743226344,0.06310311729478639,1,0.044800610072150554,1.0,1.0,,
ENSG00000226571,38384,detect_continuous,1e-06,0.03365985827428095,0.09698718404618423,-1,-0.007679302489868018,1.0,1.0,,
ENSG00000164442,38384,detect_continuous,1e-06,0.181560025010421,0.03151039588020416,1,0.0029566694298960904,1.0,1.0,,
ENSG00000238099,38384,detect_continuous,1e-06,0.013912046686119216,0.11435309152157773,1,0.09031399881532726,1.0,1.0,,
ENSG00000009844,38384,detect_continuous,1e-06,0.11932055022926219,0.04851209843009605,1,0.002096922860235528,1.0,1.0,,
ENSG00000112414,38384,detect_continuous,1e-06,0.013651521467278032,0.17605909709154605,-1,-0.0810201138865257,1.0,0.8611111111111112,,
ENSG00000010818,38384,detect_continuous,1e-06,0.13245102125885785,0.09239538720501606,-1,-0.009329003538326917,1.0,1.0,,
ENSG00000229017,38384,detect_continuous,1e-06,0.019435181325552314,0.07857049526279274,1,0.052707755580670285,1.0,1.0,,
ENSG00000146416,38384,detect_continuous,1e-06,0.35605981659024594,0.07914567691500464,-1,-0.06358906430377911,1.0,1.0,,
ENSG00000189007,38384,detect_continuous,1e-06,0.04673822426010838,0.07331108398535192,1,0.035168971612910986,1.0,1.0,,
ENSG00000034693,38384,detect_continuous,1e-06,0.15412671946644435,0.05321619033230626,-1,-0.006234194775536806,1.0,1.0,,
ENSG00000001036,38384,detect_continuous,1e-06,0.17168611921634014,0.05133423504173483,1,0.0016432210781859293,1.0,1.0,,
ENSG00000112419,38384,detect_continuous,1e-06,0.1415954564401834,0.08222242313140066,-1,-0.03528368660131652,1.0,1.0,,
ENSG00000135521,38384,detect_continuous,1e-06,0.053537932471863274,0.05596374429329865,1,0.03069384795577141,1.0,1.0,,
ENSG00000118495,38384,detect_continuous,1e-06,0.13073155481450605,0.08937355713537752,1,0.007612521490805302,1.0,1.0,,
ENSG00000283122,38384,detect_continuous,1e-06,0.012218632763651522,0.08559329023865063,1,0.0229316105787142,1.0,1.0,,
ENSG00000169976,38384,detect_continuous,1e-06,0.36147874114214257,0.08921247281661522,1,0.006915777834703753,1.0,1.0,,
ENSG00000152818,38384,detect_continuous,1e-06,0.3857336390162568,0.14840186204268574,-1,-0.12159582575785685,1.0,1.0,,
ENSG00000112425,38384,detect_continuous,1e-06,0.1234368486869529,0.07907875184988138,1,0.005873760726709678,1.0,1.0,,
ENSG00000270638,38384,detect_continuous,1e-06,0.010655481450604418,0.11695988576470522,1,0.06743586875488534,1.0,1.0,,
ENSG00000235652,38384,detect_continuous,1e-06,0.0716965402250938,0.07599727736701538,1,0.022217859754622697,1.0,1.0,,
ENSG00000118496,38384,detect_continuous,1e-06,0.0671894539391413,0.07679785193348818,1,0.05781029838339416,1.0,1.0,,
ENSG00000146414,38384,detect_continuous,1e-06,0.28363380575239683,0.11086305458527351,-1,-0.04955166121815348,1.0,1.0,,
ENSG00000152822,38384,detect_continuous,1e-06,0.07617757398916215,0.1047784529691404,1,0.029102515940948252,1.0,1.0,,
ENSG00000118508,38384,detect_continuous,1e-06,0.10298561900791997,0.0742777129102392,-1,-0.04277769450376808,1.0,1.0,,
ENSG00000118492,38384,detect_continuous,1e-06,0.009300750312630262,0.13110785355003174,-1,-0.09597887911008758,1.0,0.7777777777777778,low_coverage_expr,
ENSG00000233452,38384,detect_continuous,1e-06,0.01096811171321384,0.09913834126947936,-1,-0.04331934812399268,1.0,0.9861111111111112,,
ENSG00000164506,38384,detect_continuous,1e-06,0.13041892455189663,0.11877223269806872,-1,-0.031134438586680205,1.0,1.0,,
ENSG00000203727,38384,detect_continuous,1e-06,0.03212275948311796,0.1304304241521079,-1,-0.04283149846407049,1.0,1.0,,
ENSG00000227681,38384,detect_continuous,1e-06,0.014615464776990413,0.17134846774635398,-1,-0.08143572539041759,1.0,0.8888888888888888,,
ENSG00000111961,38384,detect_continuous,1e-06,0.21136411004585243,0.0847361041034163,-1,-0.055108516493241215,1.0,1.0,,
ENSG00000111962,38384,detect_continuous,1e-06,0.0654699874947895,0.0764208231879845,1,0.03079914945980322,1.0,1.0,,
ENSG00000055208,38384,detect_continuous,1e-06,0.21785118799499792,0.07627863333583815,-1,-0.03512102424831763,1.0,1.0,,
ENSG00000177688,38384,detect_continuous,1e-06,0.015865985827428094,0.08741620510280614,1,0.03654710712416583,1.0,1.0,,
ENSG00000131013,38384,detect_continuous,1e-06,0.15256356815339725,0.04338995834952821,-1,-0.0037371565213696212,1.0,1.0,,
ENSG00000055211,38384,detect_continuous,1e-06,0.32664651938307626,0.046396086910728454,1,0.010964243976597204,1.0,1.0,,
ENSG00000186625,38384,detect_continuous,1e-06,0.061431846602751146,0.052471691854266755,1,0.00924340262515939,1.0,1.0,,
ENSG00000131023,38384,detect_continuous,1e-06,0.1415954564401834,0.07686406030912743,-1,-0.014983829624722507,1.0,1.0,,
ENSG00000278899,38384,detect_continuous,1e-06,0.0077115464776990415,0.08312823852662385,1,0.05174492704400797,1.0,1.0,low_coverage_expr,
ENSG00000120253,38384,detect_continuous,1e-06,0.06276052521884118,0.056360331985197396,1,0.028522032963020607,1.0,1.0,,
ENSG00000120265,38384,detect_continuous,1e-06,0.20091704877032096,0.042059933907572164,-1,-0.015674813731294503,1.0,1.0,,
ENSG00000120256,38384,detect_continuous,1e-06,0.10710191746561067,0.07620649763189365,1,0.05238132397146478,1.0,1.0,,
ENSG00000268592,38384,detect_continuous,1e-06,0.007060233430596081,0.15208229470085313,1,0.11241537230703819,1.0,1.0,low_coverage_expr,
ENSG00000131019,38384,detect_continuous,1e-06,0.007424968736973739,0.07456959127448144,1,0.03508259470276213,1.0,1.0,low_coverage_expr,
ENSG00000198729,38384,detect_continuous,1e-06,0.014771779908295124,0.1691122218797088,-1,-0.11284564022872146,1.0,0.9444444444444444,,
ENSG00000009765,38384,detect_continuous,1e-06,0.01675177157148812,0.18546358804303034,1,0.18230327043230338,1.0,1.0,,
ENSG00000120278,38384,detect_continuous,1e-06,0.09459670696123385,0.08852954396794933,1,0.031849738934296115,1.0,1.0,,
ENSG00000120254,38384,detect_continuous,1e-06,0.04848374322634431,0.14238619514801995,-1,-0.06666118331879328,1.0,1.0,,
ENSG00000131016,38384,detect_continuous,1e-06,0.032200917048770324,0.1637956920243389,-1,-0.07878364648426157,1.0,1.0,,
ENSG00000181472,38384,detect_continuous,1e-06,0.028918299291371404,0.06714632643101069,1,0.051702157664635734,1.0,1.0,,
ENSG00000155906,38384,detect_continuous,1e-06,0.07703730721133806,0.05602903922210748,1,0.02336713326205235,1.0,1.0,,
ENSG00000146476,38384,detect_continuous,1e-06,0.12195185493955815,0.048248484816896205,1,0.03372280394067256,1.0,1.0,,
ENSG00000091831,38384,detect_continuous,1e-06,0.04283034597749062,0.2105657570920886,1,0.1913182324487616,1.0,1.0,,
ENSG00000131018,38384,detect_continuous,1e-06,0.40516882034180907,0.10834783316354014,-1,-0.09306567201497093,1.0,1.0,,
ENSG00000226193,38384,detect_continuous,1e-06,0.012218632763651522,0.1306722088494328,1,0.08093872839923037,1.0,1.0,,
ENSG00000112029,38384,detect_continuous,1e-06,0.016829929137140476,0.11613827010347733,1,0.010069123388818055,1.0,1.0,,
ENSG00000227627,38384,detect_continuous,1e-06,0.012843893288870362,0.09524222545146238,-1,-0.0338782473424978,1.0,1.0,,
ENSG00000112031,38384,detect_continuous,1e-06,0.08394122551062944,0.05350945304685485,1,0.039072269373429176,1.0,1.0,,
ENSG00000074706,38384,detect_continuous,1e-06,0.1278136723634848,0.09600711782604943,-1,-0.001770325828952796,1.0,1.0,,
ENSG00000153721,38384,detect_continuous,1e-06,0.21279699874947894,0.10252194601585601,-1,-0.041922422611951365,1.0,1.0,,
ENSG00000287260,38384,detect_continuous,1e-06,0.005340766986244269,0.09245032027971929,1,0.05360759453831295,1.0,1.0,low_coverage_expr,
ENSG00000213079,38384,detect_continuous,1e-06,0.21154647769904128,0.10984922296723325,-1,-0.07957089191356641,1.0,1.0,,
ENSG00000146426,38384,detect_continuous,1e-06,0.11223426427678199,0.11739051400213987,-1,-0.032444237576524815,1.0,1.0,,
ENSG00000235381,38384,detect_continuous,1e-06,0.009144435181325553,0.08385516987563772,1,0.03297856140555279,1.0,1.0,low_coverage_expr,
ENSG00000029639,38384,detect_continuous,1e-06,0.11981554814506044,0.08520346121694064,-1,-0.01913279750418119,1.0,1.0,,
ENSG00000287092,38384,detect_continuous,1e-06,0.009274697790746144,0.15512306831169215,-1,-0.12143866027813172,1.0,0.6527777777777778,low_coverage_expr,
ENSG00000049618,38384,detect_continuous,1e-06,0.45180283451438097,0.1367149118241356,-1,-0.08084799806171482,1.0,1.0,,
ENSG00000215712,38384,detect_continuous,1e-06,0.11272926219258024,0.06163519093612728,1,0.02484236894392398,1.0,1.0,,
ENSG00000175048,38384,detect_continuous,1e-06,0.2637036265110463,0.1332763939437623,-1,-0.08382133291350674,1.0,1.0,,
ENSG00000130340,38384,detect_continuous,1e-06,0.19416944560233432,0.06511557444937079,-1,-0.04511082480967538,1.0,1.0,,
ENSG00000078269,38384,detect_continuous,1e-06,0.02511463109629012,0.10240155018923483,-1,-0.04146687913457768,1.0,1.0,,
ENSG00000122335,38384,detect_continuous,1e-06,0.03170591913297207,0.054987184864139504,1,0.005417585882493579,1.0,1.0,,
ENSG00000272047,38384,detect_continuous,1e-06,0.4056898707794915,0.09289495975474166,1,0.01693992307956386,1.0,1.0,,
ENSG00000130338,38384,detect_continuous,1e-06,0.1427157148812005,0.07990891931500785,-1,-0.039133278496391775,1.0,1.0,,
ENSG00000146433,38384,detect_continuous,1e-06,0.08013755731554814,0.07453636707265543,1,0.02608903920829633,1.0,1.0,,
ENSG00000146425,38384,detect_continuous,1e-06,0.3816694456023343,0.09804642615530622,1,0.002006021247197355,1.0,1.0,,
ENSG00000164674,38384,detect_continuous,1e-06,0.030533555648186744,0.1208452313118919,1,0.09099003321773247,1.0,1.0,,
ENSG00000092820,38384,detect_continuous,1e-06,0.42038349312213424,0.09004079394869527,-1,-0.044387496976123396,1.0,1.0,,
ENSG00000203711,38384,detect_continuous,1e-06,0.0070862859524802,0.07749885593584827,-1,-0.013292954096741437,1.0,1.0,low_coverage_expr,
ENSG00000130363,38384,detect_continuous,1e-06,0.08521779908295123,0.05867574748242661,1,0.03995144851603042,1.0,1.0,,
ENSG00000271913,38384,detect_continuous,1e-06,0.07471863276365152,0.06972131855071191,1,0.004033691800653242,1.0,1.0,,
ENSG00000286533,38384,detect_continuous,1e-06,0.02467173822426011,0.15695432463473744,-1,-0.013684862433009396,1.0,1.0,,
ENSG00000146457,38384,detect_continuous,1e-06,0.27938724468528553,0.05219846346683825,-1,-0.037683298920278774,1.0,1.0,,
ENSG00000120437,38384,detect_continuous,1e-06,0.07576073363901625,0.074382398952674,1,0.03014634247033071,1.0,1.0,,
ENSG00000120438,38384,detect_continuous,1e-06,0.23699979157982493,0.035502157481241046,-1,-0.008254648064385493,1.0,1.0,,
ENSG00000112110,38384,detect_continuous,1e-06,0.19693101292205084,0.05580152493806576,1,0.010397413702040132,1.0,1.0,,
ENSG00000197081,38384,detect_continuous,1e-06,0.3289391413088787,0.06974584244429943,-1,-0.020032895974248774,1.0,1.0,,
ENSG00000175003,38384,detect_continuous,1e-06,0.013286786160900375,0.07989356835098929,-1,-0.05162133864577806,1.0,0.9861111111111112,,
ENSG00000112499,38384,detect_continuous,1e-06,0.37552105043768236,0.13546219072275995,-1,-0.11011793955938032,1.0,1.0,,
ENSG00000146477,38384,detect_continuous,1e-06,0.09655064610254273,0.12360576945410802,1,0.10372409379716616,1.0,1.0,,
ENSG00000085511,38384,detect_continuous,1e-06,0.13800020842017507,0.08611021675329462,-1,-0.022026688551034426,1.0,1.0,,
ENSG00000026652,38384,detect_continuous,1e-06,0.12791788245102126,0.08857441340384493,1,0.01455596027930083,1.0,1.0,,
ENSG00000185345,38384,detect_continuous,1e-06,0.329668611921634,0.18160149187410796,-1,-0.10550852257193026,1.0,1.0,,
ENSG00000112530,38384,detect_continuous,1e-06,0.11304189245518967,0.07129728533782592,-1,-0.04898161545914322,1.0,1.0,,
ENSG00000270419,38384,detect_continuous,1e-06,0.04965610671112964,0.10838931269642396,1,0.08144258983140061,1.0,1.0,,
ENSG00000112531,38384,detect_continuous,1e-06,0.4220508545227178,0.10745619342335262,-1,-0.08040419394129164,1.0,1.0,,
ENSG00000112541,38384,detect_continuous,1e-06,0.1851031679866611,0.0953000245332935,-1,-0.03246117256732768,1.0,1.0,,
ENSG00000198818,38384,detect_continuous,1e-06,0.3740360566902876,0.049111646924699284,1,0.022099796583785036,1.0,1.0,,
ENSG00000286760,38384,detect_continuous,1e-06,0.009743643184660275,0.07958267627676371,1,0.055904874248789,1.0,1.0,low_coverage_expr,
ENSG00000060762,38384,detect_continuous,1e-06,0.6964620675281368,0.15742108783049472,1,0.07026799601913274,1.0,1.0,,
ENSG00000261420,38384,detect_continuous,1e-06,0.024854105877448938,0.11659067271860495,1,0.05496136245937215,1.0,1.0,,
ENSG00000071242,38384,detect_continuous,1e-06,0.10238641100458525,0.07401274866430779,1,0.03553128810036508,1.0,1.0,,
ENSG00000026297,38384,detect_continuous,1e-06,0.19406523551479785,0.09711881740193029,-1,-0.05333844347096697,1.0,1.0,,
ENSG00000227598,38384,detect_continuous,1e-06,0.013651521467278032,0.18959574397860052,-1,-0.04793058972327018,1.0,0.7916666666666666,,
ENSG00000213066,38384,detect_continuous,1e-06,0.11179137140475198,0.0830192150897743,-1,-0.023587540455971747,1.0,1.0,,
ENSG00000146521,38384,detect_continuous,1e-06,0.020529387244685286,0.11921329028655664,1,0.09892592191030024,1.0,1.0,,
ENSG00000269155,38384,detect_continuous,1e-06,0.005627344726969571,0.15476273146767863,1,0.1469851684555136,1.0,1.0,low_coverage_expr,
ENSG00000198221,38384,detect_continuous,1e-06,0.030794080867027927,0.11290120469090595,1,0.09915553583473415,1.0,1.0,,
ENSG00000130396,38384,detect_continuous,1e-06,0.3850302209253856,0.09690789209992534,-1,-0.07531110860266502,1.0,1.0,,
ENSG00000226445,38384,detect_continuous,1e-06,0.012010212588578574,0.09126505305605492,1,0.06146628739479451,1.0,1.0,,
ENSG00000272848,38384,detect_continuous,1e-06,0.025844101709045435,0.09385554988517014,1,0.06384095032421909,1.0,1.0,,
ENSG00000184465,38384,detect_continuous,1e-06,0.1255992080033347,0.11320415285078406,-1,-0.019375999651812408,1.0,1.0,,
ENSG00000185127,38384,detect_continuous,1e-06,0.07685493955814923,0.10909923032373309,1,0.09628848809896925,1.0,1.0,,
ENSG00000130024,38384,detect_continuous,1e-06,0.17181638182576073,0.04571068817216513,1,0.002160956436709433,1.0,1.0,,
ENSG00000227704,38384,detect_continuous,1e-06,0.007060233430596081,0.11608205534180956,1,0.04395214696919123,1.0,1.0,low_coverage_expr,
ENSG00000184786,38384,detect_continuous,1e-06,0.028266986244268447,0.08307815385739921,1,0.05471996317556963,1.0,1.0,,
ENSG00000130023,38384,detect_continuous,1e-06,0.060520008336807006,0.06195026672270874,1,0.020845886425842855,1.0,1.0,,
ENSG00000198719,38384,detect_continuous,1e-06,0.007946019174656106,0.13020867347917514,-1,-0.057664627987172236,1.0,0.7916666666666666,low_coverage_expr,
ENSG00000112584,38384,detect_continuous,1e-06,0.15344935389745729,0.07839741201255336,-1,-0.026105674632227314,1.0,1.0,,
ENSG00000008018,38384,detect_continuous,1e-06,0.4417465610671113,0.10134887167154968,-1,-0.03057227462479633,1.0,1.0,,
ENSG00000112592,38384,detect_continuous,1e-06,0.06322947061275531,0.07090152436098675,1,0.04572870943652561,1.0,1.0,,
ENSG00000071994,38384,detect_continuous,1e-06,0.12580762817840768,0.05244192046693514,1,0.016782287398535222,1.0,1.0,,
ENSG00000242474,38384,detect_continuous,1e-06,0.027798040850354314,0.07088965215683084,1,0.02998912239936372,1.0,1.0,,
ENSG00000240859,38384,detect_continuous,1e-06,0.013469153814089203,0.07433525283774102,1,0.05563267336761265,1.0,1.0,,
ENSG00000177706,38384,detect_continuous,1e-06,0.0364214255939975,0.12440631808520133,-1,-0.09293061669818248,1.0,1.0,,
ENSG00000197461,38384,detect_continuous,1e-06,0.1235931638182576,0.049893815958342316,-1,-0.017645224221732054,1.0,1.0,,
ENSG00000223855,38384,detect_continuous,1e-06,0.028240933722384325,0.10289788149451463,1,0.08278458437625942,1.0,1.0,,
ENSG00000188191,38384,detect_continuous,1e-06,0.13206023343059609,0.04328840890870903,1,0.02090833316101119,1.0,1.0,,
ENSG00000229380,38384,detect_continuous,1e-06,0.040225093789078785,0.11358954481111586,1,0.04332541231199363,1.0,1.0,,
ENSG00000164818,38384,detect_continuous,1e-06,0.08813568153397248,0.056878593213922336,1,0.040937166288449935,1.0,1.0,,
ENSG00000164828,38384,detect_continuous,1e-06,0.23324822842851187,0.07208040128360939,-1,-0.013917789020621654,1.0,1.0,,
ENSG00000239857,38384,detect_continuous,1e-06,0.009769695706544394,0.05298217818291783,-1,-0.009687561309256177,1.0,1.0,low_coverage_expr,
ENSG00000273151,38384,detect_continuous,1e-06,0.00531471446436015,0.1346130799917714,1,0.07817118411549943,1.0,0.9583333333333334,low_coverage_expr,
ENSG00000105963,38384,detect_continuous,1e-06,0.11189558149228845,0.1101478157483465,1,0.09810681434599137,1.0,1.0,,
ENSG00000240230,38384,detect_continuous,1e-06,0.0848791162984577,0.06516046823582723,1,0.04790369606583977,1.0,1.0,,
ENSG00000146540,38384,detect_continuous,1e-06,0.34858274280950396,0.06972639401674602,1,0.008061358087440993,1.0,1.0,,
ENSG00000164849,38384,detect_continuous,1e-06,0.011228636932055024,0.12317475645446128,1,0.08712556753133299,1.0,1.0,,
ENSG00000164850,38384,detect_continuous,1e-06,0.010186536056690287,0.13608424492069401,-1,-0.10751767009059077,1.0,1.0,,
ENSG00000178381,38384,detect_continuous,1e-06,0.043247186327636515,0.07096414474363061,1,0.03324796943796939,1.0,1.0,,
ENSG00000229043,38384,detect_continuous,1e-06,0.03303459774906211,0.10359557422224594,1,0.08796394368491889,1.0,1.0,,
ENSG00000164853,38384,detect_continuous,1e-06,0.03590037515631513,0.12574431913678075,1,0.11648643497827761,1.0,1.0,,
