gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000112343,38384,detect_continuous,1e-06,0.12851709045435597,0.07270239286211447,1,0.03320867854838479,1.0,1.0,,
ENSG00000272462,38384,detect_continuous,1e-06,0.00854522717799083,0.07952834837573358,1,0.014118254818801709,1.0,1.0,low_coverage_expr,
ENSG00000124610,38384,detect_continuous,1e-06,0.0357180075031263,0.1345377665616667,1,0.06504472634758282,1.0,1.0,,
ENSG00000187837,38384,detect_continuous,1e-06,0.12416631929970821,0.0884197089685914,-1,-0.03753676802921026,1.0,1.0,,
ENSG00000010704,38384,detect_continuous,1e-06,0.01904439349729054,0.07752615167202807,1,0.044518487172809235,1.0,1.0,,
ENSG00000197061,38384,detect_continuous,1e-06,0.4394278866194248,0.19999596100540926,1,0.06911739430592896,1.0,1.0,,
ENSG00000180596,38384,detect_continuous,1e-06,0.009561275531471446,0.09773516733584131,-1,-0.03565513417879115,1.0,1.0,low_coverage_expr,
ENSG00000180573,38384,detect_continuous,1e-06,0.07628178407669862,0.07448075397158462,-1,-0.04507461414119417,1.0,1.0,,
ENSG00000168298,38384,detect_continuous,1e-06,0.04785848270112547,0.08615267274263408,-1,-0.02741002752841265,1.0,1.0,,
ENSG00000158373,38384,detect_continuous,1e-06,0.018314922884535224,0.06610314127145442,1,0.0015246186664653134,1.0,1.0,,
ENSG00000274290,38384,detect_continuous,1e-06,0.007972071696540226,0.07664584300059926,-1,-0.017569041883492842,1.0,1.0,low_coverage_expr,
ENSG00000158406,38384,detect_continuous,1e-06,0.02042517715714881,0.06894109388519429,1,0.00439647810236977,1.0,1.0,,
ENSG00000186470,38384,detect_continuous,1e-06,0.02081596498541059,0.08074464056046045,-1,-0.005925870098494603,1.0,1.0,,
ENSG00000124508,38384,detect_continuous,1e-06,0.011046269278866195,0.07382007853126461,1,0.01628023735555929,1.0,1.0,,
ENSG00000026950,38384,detect_continuous,1e-06,0.01935702375989996,0.10131130967838566,1,0.011289627418425019,1.0,1.0,,
ENSG00000111801,38384,detect_continuous,1e-06,0.013547311379741559,0.07367833427733127,1,0.041531519290108725,1.0,1.0,,
ENSG00000112763,38384,detect_continuous,1e-06,0.050724260108378494,0.0591547198009556,1,0.018503348013865953,1.0,1.0,,
ENSG00000228223,38384,detect_continuous,1e-06,0.03147144643601501,0.06602384334120488,1,0.06135635786018726,1.0,1.0,,
ENSG00000182952,38384,detect_continuous,1e-06,0.09019383076281784,0.06976255715567296,1,0.03435088570767017,1.0,1.0,,
ENSG00000146109,38384,detect_continuous,1e-06,0.059321592330137556,0.085814084011601,1,0.06894898933917874,1.0,1.0,,
ENSG00000181315,38384,detect_continuous,1e-06,0.0885785744060025,0.05966297948066435,1,0.039483861645143364,1.0,1.0,,
ENSG00000261584,38384,detect_continuous,1e-06,0.014407044601917466,0.09127097890446087,1,0.048231787386100025,1.0,1.0,,
ENSG00000224843,38384,detect_continuous,1e-06,0.05054189245518966,0.08004429630214367,1,0.012754053377021303,1.0,1.0,,
ENSG00000287966,38384,detect_continuous,1e-06,0.026156731971654856,0.08326128966949033,1,0.053365140507018655,1.0,1.0,,
ENSG00000112812,38384,detect_continuous,1e-06,0.016334931221342226,0.054937625705108975,-1,-0.009801428314255928,1.0,1.0,,
ENSG00000124613,38384,detect_continuous,1e-06,0.017429137140475198,0.05316516654764953,1,0.03495251505526317,1.0,1.0,,
ENSG00000096654,38384,detect_continuous,1e-06,0.02076385994164235,0.05761466001956581,1,0.012908623019423238,1.0,1.0,,
ENSG00000286652,38384,detect_continuous,1e-06,0.010994164235097957,0.07172012711865221,1,0.021369220533311493,1.0,1.0,,
ENSG00000233822,38384,detect_continuous,1e-06,0.005731554814506044,0.1263475329049852,-1,-0.06659622282726518,1.0,0.9583333333333334,low_coverage_expr,
ENSG00000269293,38384,detect_continuous,1e-06,0.3289130887869946,0.058353398854357814,1,0.019574049847108768,1.0,1.0,,
ENSG00000272009,38384,detect_continuous,1e-06,0.06304710295956649,0.09823049526405345,1,0.07892169419332476,1.0,1.0,,
ENSG00000197279,38384,detect_continuous,1e-06,0.01709045435598166,0.07810949319648897,1,0.01833326857042085,1.0,1.0,,
ENSG00000196812,38384,detect_continuous,1e-06,0.017455189662359316,0.054906642789934346,1,0.0020705616713954282,1.0,1.0,,
ENSG00000198315,38384,detect_continuous,1e-06,0.06552209253855773,0.0875348004763831,1,0.034506195695101084,1.0,1.0,,
ENSG00000137185,38384,detect_continuous,1e-06,0.033112755314714463,0.08026672140827928,1,0.031974396694326696,1.0,1.0,,
ENSG00000187626,38384,detect_continuous,1e-06,0.017272822009170487,0.05397608868953047,1,0.0064719305191030104,1.0,1.0,,
ENSG00000189134,38384,detect_continuous,1e-06,0.007398916215089621,0.136540787788942,1,0.09632104767721572,1.0,1.0,low_coverage_expr,
