gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000114405,38384,detect_continuous,1e-06,0.10707586494372655,0.12402058169450582,1,0.09946108223653556,1.0,1.0,,
ENSG00000163634,38384,detect_continuous,1e-06,0.23204981242184244,0.03761645011057575,-1,-0.005280486640209945,1.0,1.0,,
ENSG00000163635,38384,detect_continuous,1e-06,0.1207534389328887,0.07452880435139043,-1,-0.0035857466644502534,1.0,1.0,,
ENSG00000239653,38384,detect_continuous,1e-06,0.023707794914547727,0.12187965849134623,1,0.0014006409764687824,1.0,1.0,,
ENSG00000163636,38384,detect_continuous,1e-06,0.16644956231763236,0.043201759447027754,1,0.014591908236733293,1.0,1.0,,
ENSG00000241111,38384,detect_continuous,1e-06,0.010421008753647354,0.0742615538140076,1,0.061358463514675304,1.0,1.0,,
ENSG00000163637,38384,detect_continuous,1e-06,0.21891934139224678,0.13543591980113154,-1,-0.04455656763419594,1.0,1.0,,
ENSG00000163638,38384,detect_continuous,1e-06,0.16324510212588578,0.12089569055394477,-1,-0.03867857855928947,1.0,1.0,,
ENSG00000241158,38384,detect_continuous,1e-06,0.2779022509378908,0.10128372715328063,-1,-0.04609587549935737,1.0,1.0,,
ENSG00000241684,38384,detect_continuous,1e-06,0.40058357649020426,0.13945546965753672,-1,-0.06476110531895296,1.0,0.8333333333333334,,
ENSG00000151276,38384,detect_continuous,1e-06,0.42582847019591497,0.17505670497520845,-1,-0.09634869638579006,1.0,1.0,,
ENSG00000240175,38384,detect_continuous,1e-06,0.006877865777407253,0.07544507287768867,-1,-0.04470247201159272,1.0,0.4583333333333333,low_coverage_expr,
ENSG00000144741,38384,detect_continuous,1e-06,0.12234264276781992,0.06493120805903911,-1,-0.02903333228538895,1.0,1.0,,
ENSG00000144749,38384,detect_continuous,1e-06,0.04017298874531055,0.08560894797522363,1,0.06012462626714835,1.0,1.0,,
ENSG00000172340,38384,detect_continuous,1e-06,0.41637140475198,0.07030453523618037,-1,-0.05601422748650115,1.0,1.0,,
ENSG00000241316,38384,detect_continuous,1e-06,0.2066225510629429,0.09705626162313431,-1,-0.026548147939599302,1.0,1.0,,
ENSG00000183662,38384,detect_continuous,1e-06,0.07664651938307628,0.1365858221909053,1,0.029833336085714104,1.0,1.0,,
ENSG00000163377,38384,detect_continuous,1e-06,0.005627344726969571,0.09021239457071095,1,0.021931951288847444,1.0,1.0,low_coverage_expr,
ENSG00000163378,38384,detect_continuous,1e-06,0.018393080450187577,0.08303991363752203,-1,-0.004505393284466351,1.0,1.0,,
ENSG00000144747,38384,detect_continuous,1e-06,0.21428199249687369,0.04862136046469008,-1,-0.0011763613563327594,1.0,1.0,,
ENSG00000144744,38384,detect_continuous,1e-06,0.12791788245102126,0.05927823104626757,1,0.004681736049572574,1.0,1.0,,
ENSG00000144746,38384,detect_continuous,1e-06,0.26026469362234267,0.04788103042889347,-1,-0.004371141630507927,1.0,1.0,,
ENSG00000114541,38384,detect_continuous,1e-06,0.2134222592746978,0.09188206622881243,-1,-0.0593497023915551,1.0,1.0,,
ENSG00000187098,38384,detect_continuous,1e-06,0.38906836181742394,0.12439359630378777,-1,-0.09636596650277603,1.0,1.0,,
ENSG00000114861,38384,detect_continuous,1e-06,0.36585556481867443,0.13745837752010928,-1,-0.07811830108893789,1.0,1.0,,
ENSG00000242094,38384,detect_continuous,1e-06,0.007633388912046686,0.11073569237367678,1,0.012794082318566068,1.0,1.0,low_coverage_expr,
ENSG00000163412,38384,detect_continuous,1e-06,0.07216548561900792,0.07939321403588376,1,0.057971215685089575,1.0,1.0,,
ENSG00000170837,38384,detect_continuous,1e-06,0.05382451021258858,0.18469978072867285,1,0.18283132247059866,1.0,1.0,,
ENSG00000163602,38384,detect_continuous,1e-06,0.18828157565652356,0.048302251501567285,-1,-0.0005203098486231497,1.0,1.0,,
ENSG00000144736,38384,detect_continuous,1e-06,0.05648186744476865,0.06339399158839158,1,0.00920066172639831,1.0,1.0,,
ENSG00000172986,38384,detect_continuous,1e-06,0.007138390996248437,0.2044714530631285,1,0.16032668681514112,1.0,0.9583333333333334,low_coverage_expr,
ENSG00000163605,38384,detect_continuous,1e-06,0.20245414756148394,0.04680084472688824,-1,-0.021612834910101318,1.0,1.0,,
ENSG00000255423,38384,detect_continuous,1e-06,0.00904022509378908,0.08078552989732753,1,0.03312903770792239,1.0,1.0,low_coverage_expr,
ENSG00000121440,38384,detect_continuous,1e-06,0.1054345560650271,0.10577020081638809,1,0.0758412045853682,1.0,1.0,,
ENSG00000113805,38384,detect_continuous,1e-06,0.07268653605669029,0.08058518995145954,1,0.012980193679480957,1.0,1.0,,
ENSG00000272690,38384,detect_continuous,1e-06,0.02047728220091705,0.07159645235150562,-1,-0.016350215613084966,1.0,1.0,,
ENSG00000172969,38384,detect_continuous,1e-06,0.05992080033347228,0.1380176273035643,1,0.09659199880474184,1.0,1.0,,
ENSG00000242516,38384,detect_continuous,1e-06,0.02305648186744477,0.1430627255509514,-1,-0.023207584246121966,1.0,1.0,,
ENSG00000227124,38384,detect_continuous,1e-06,0.09944247603167987,0.07383805031342973,1,0.026220332150026247,1.0,1.0,,
ENSG00000185008,38384,detect_continuous,1e-06,0.050698207586494376,0.12978895149759911,1,0.09137757015430997,1.0,1.0,,
ENSG00000169855,38384,detect_continuous,1e-06,0.02321279699874948,0.09399865527122,-1,-0.043414267045915014,1.0,1.0,,
ENSG00000286329,38384,detect_continuous,1e-06,0.00627865777407253,0.07271889307873591,1,0.012674737070907814,1.0,0.4305555555555556,low_coverage_expr,
ENSG00000243694,38384,detect_continuous,1e-06,0.021988328470195915,0.11508521429226415,1,0.014033771600592968,1.0,1.0,,
ENSG00000114480,38384,detect_continuous,1e-06,0.2977803251354731,0.1043125275026351,-1,-0.09058957919731495,1.0,1.0,,
ENSG00000175161,38384,detect_continuous,1e-06,0.015344935389745728,0.07586361909886113,-1,-0.007950422675913003,1.0,0.9861111111111112,,
ENSG00000083937,38384,detect_continuous,1e-06,0.16960191746561068,0.03036653452639099,1,0.007617043515505375,1.0,1.0,,
ENSG00000239572,38384,detect_continuous,1e-06,0.025349103793247188,0.1865314827449479,-1,-0.1720376100881435,1.0,0.9027777777777778,,
ENSG00000163320,38384,detect_continuous,1e-06,0.2636254689453939,0.033024523387847025,-1,-0.019021511479015776,1.0,1.0,,
ENSG00000175105,38384,detect_continuous,1e-06,0.13432680283451437,0.08030505293578398,-1,-0.026456521482727313,1.0,1.0,,
ENSG00000179021,38384,detect_continuous,1e-06,0.08870883701542309,0.059308994831667884,1,0.04402772990370444,1.0,1.0,,
ENSG00000184500,38384,detect_continuous,1e-06,0.01920070862859525,0.1302883335417056,-1,-0.017759687286261237,1.0,1.0,,
ENSG00000169379,38384,detect_continuous,1e-06,0.08639016256773656,0.05346273138274748,-1,-7.232148334282197e-05,1.0,1.0,,
ENSG00000178700,38384,detect_continuous,1e-06,0.05132346811171321,0.10220440783954153,1,0.08479456808644155,1.0,1.0,,
ENSG00000178694,38384,detect_continuous,1e-06,0.110254272613589,0.06878147533349703,-1,-0.004393704230572848,1.0,1.0,,
ENSG00000080224,38384,detect_continuous,1e-06,0.014459149645685702,0.13456601025369894,-1,-0.08524085847474866,1.0,0.75,,
ENSG00000113966,38384,detect_continuous,1e-06,0.06380262609420592,0.05772937836181626,1,0.02195472451603234,1.0,1.0,,
ENSG00000080200,38384,detect_continuous,1e-06,0.16457378074197582,0.07702077553982985,1,0.016649386269644146,1.0,1.0,,
ENSG00000170854,38384,detect_continuous,1e-06,0.11671529804085036,0.09055208647434848,1,0.07672562905049397,1.0,1.0,,
ENSG00000080822,38384,detect_continuous,1e-06,0.130939974989579,0.05962705897838835,1,0.02141221970376877,1.0,1.0,,
ENSG00000080819,38384,detect_continuous,1e-06,0.03181012922050855,0.07063261905828151,1,0.04982093106204063,1.0,1.0,,
ENSG00000239445,38384,detect_continuous,1e-06,0.03352959566486036,0.09969480583052766,1,0.07775304227698804,1.0,1.0,,
ENSG00000064225,38384,detect_continuous,1e-06,0.1539182992913714,0.09838014726383201,-1,-0.00702051215891639,1.0,1.0,,
ENSG00000057019,38384,detect_continuous,1e-06,0.16160379324718632,0.08475917849125986,-1,-0.03470666416016326,1.0,1.0,,
ENSG00000144810,38384,detect_continuous,1e-06,0.07125364735306378,0.20752129200965244,1,0.17355349293982472,1.0,1.0,,
ENSG00000184220,38384,detect_continuous,1e-06,0.15042726135889953,0.07730470230928807,-1,-0.06355160521374635,1.0,1.0,,
