gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000237491,38384,detect_continuous,1e-06,0.03657774072530221,0.08080971404280782,1,0.044104747890141134,1.0,1.0,,
ENSG00000228794,38384,detect_continuous,1e-06,0.031210921217173823,0.06086278634907065,1,0.041605733662902294,1.0,1.0,,
ENSG00000225880,38384,detect_continuous,1e-06,0.007841809087119633,0.0939409180037911,1,0.048996854529107944,1.0,1.0,low_coverage_expr,
ENSG00000230368,38384,detect_continuous,1e-06,0.0072947061275531475,0.09791608955752137,1,0.06647058119642255,1.0,1.0,low_coverage_expr,
ENSG00000187634,38384,detect_continuous,1e-06,0.01904439349729054,0.05912852883656444,-1,-0.00015736063595011058,1.0,1.0,,
ENSG00000188976,38384,detect_continuous,1e-06,0.10295956648603585,0.06968569395412622,1,0.05197231912191184,1.0,1.0,,
ENSG00000187961,38384,detect_continuous,1e-06,0.02107649020425177,0.07309017506256314,1,0.005002989675367286,1.0,1.0,,
ENSG00000188290,38384,detect_continuous,1e-06,0.14169966652771987,0.08651385647246819,-1,-0.037977630866724094,1.0,1.0,,
ENSG00000187608,38384,detect_continuous,1e-06,0.030559608170070862,0.1535446900137089,-1,-0.13352878611526253,1.0,1.0,,
ENSG00000188157,38384,detect_continuous,1e-06,0.29340350145894123,0.06909473697392196,1,0.02245786803131958,1.0,1.0,,
ENSG00000131591,38384,detect_continuous,1e-06,0.03918299291371405,0.06736487872344915,-1,-0.003562235102454626,1.0,1.0,,
ENSG00000272141,38384,detect_continuous,1e-06,0.12114422676115048,0.10434645280176084,1,0.026087676462476807,1.0,1.0,,
ENSG00000078808,38384,detect_continuous,1e-06,0.2728220091704877,0.053066799824448195,1,0.00842617875670208,1.0,1.0,,
ENSG00000176022,38384,detect_continuous,1e-06,0.04923926636098375,0.08668663230232229,1,0.06530707154382097,1.0,1.0,,
ENSG00000160087,38384,detect_continuous,1e-06,0.1220300125052105,0.03907960738823556,1,0.017198183969028145,1.0,1.0,,
ENSG00000162572,38384,detect_continuous,1e-06,0.01464151729887453,0.06757093926297107,-1,-0.018978728339636493,1.0,1.0,,
ENSG00000131584,38384,detect_continuous,1e-06,0.0760994164235098,0.07308327272239855,1,0.03863353272429702,1.0,1.0,,
