gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000075711,38384,detect_continuous,1e-06,0.2739683201333889,0.10741812938068178,-1,-0.0811587679581326,1.0,1.0,,
ENSG00000161267,38384,detect_continuous,1e-06,0.15365777407253023,0.06700216500444679,1,0.024334013914172878,1.0,1.0,,
ENSG00000286909,38384,detect_continuous,1e-06,0.01920070862859525,0.09212107377902456,1,0.027193837189159135,1.0,1.0,,
ENSG00000236833,38384,detect_continuous,1e-06,0.012401000416840351,0.09398495472483476,1,0.029715691473053356,1.0,1.0,,
ENSG00000145016,38384,detect_continuous,1e-06,0.05658607753230513,0.07914600424635897,1,0.06057532143335262,1.0,1.0,,
ENSG00000122068,38384,detect_continuous,1e-06,0.17898082534389329,0.03400705920622566,1,0.01746988250621205,1.0,1.0,,
ENSG00000186001,38384,detect_continuous,1e-06,0.12932471863276365,0.09900274664340679,-1,-0.03421595090018111,1.0,1.0,,
ENSG00000114473,38384,detect_continuous,1e-06,0.05033347228011672,0.0747704312356622,1,0.042166473034813086,1.0,1.0,,
ENSG00000182899,38384,detect_continuous,1e-06,0.7808201333889121,0.17935947856646625,1,0.06055668100772235,1.0,1.0,,
ENSG00000185621,38384,detect_continuous,1e-06,0.07748020008336808,0.08641241049233372,1,0.04017899459084193,1.0,1.0,,
ENSG00000272602,38384,detect_continuous,1e-06,0.039026677782409334,0.07205452683608629,1,0.017802498049495144,1.0,1.0,,
ENSG00000250312,38384,detect_continuous,1e-06,0.11405794080867028,0.08603142273021656,-1,-0.0329443866160046,1.0,1.0,,
ENSG00000286705,38384,detect_continuous,1e-06,0.017715714881200502,0.09805127294874527,1,0.08737055096025509,1.0,1.0,,
ENSG00000131127,38384,detect_continuous,1e-06,0.10822217590662776,0.08145001244899384,1,0.014293667247309643,1.0,1.0,,
ENSG00000281016,38384,detect_continuous,1e-06,0.012296790329303876,0.11677945495864402,-1,-0.019359566840691577,1.0,0.7222222222222222,,
ENSG00000182903,38384,detect_continuous,1e-06,0.2090454355981659,0.08974130560357117,-1,-0.040127337446607535,1.0,1.0,,
ENSG00000174227,38384,detect_continuous,1e-06,0.09386723634847853,0.07324992659719273,1,0.03681876813422961,1.0,1.0,,
