gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value
ENSG00000287918,38384,detect_continuous,1e-06,0.00820654439349729,0.09313436936781534,1,0.033709430048012176,1.0,0.9722222222222222,low_coverage_expr,
ENSG00000160131,38384,detect_continuous,1e-06,0.1751511046269279,0.049489288792115727,1,0.03142815316123092,1.0,1.0,,
ENSG00000147400,38384,detect_continuous,1e-06,0.20779491454772822,0.06651274394398758,1,0.039725980433510305,1.0,1.0,,
ENSG00000147383,38384,detect_continuous,1e-06,0.04770216756982076,0.07030944541370909,1,0.05166258224274364,1.0,1.0,,
ENSG00000147394,38384,detect_continuous,1e-06,0.025218841183826595,0.07546664514345804,1,0.06233491171208643,1.0,1.0,,
ENSG00000183837,38384,detect_continuous,1e-06,0.014849937473947477,0.11951795328971192,1,0.08370319389957309,1.0,1.0,,
ENSG00000235961,38384,detect_continuous,1e-06,0.020555439766569403,0.08983314757061889,1,0.0680921437178277,1.0,1.0,,
ENSG00000063587,38384,detect_continuous,1e-06,0.041475614839516464,0.07407930926466338,1,0.05532660923306465,1.0,1.0,,
ENSG00000213397,38384,detect_continuous,1e-06,0.02191017090454356,0.0692971062303803,1,0.0019054970276085683,1.0,1.0,,
ENSG00000182492,38384,detect_continuous,1e-06,0.04316902876198416,0.07975487134931751,-1,-0.059295724417579326,1.0,1.0,,
ENSG00000067842,38384,detect_continuous,1e-06,0.012140475197999167,0.12029144578544801,1,0.059682641566615846,1.0,1.0,,
ENSG00000262919,38384,detect_continuous,1e-06,0.08026781992496873,0.10230583213618512,1,0.062323021641086954,1.0,1.0,,
ENSG00000130829,38384,detect_continuous,1e-06,0.5397822009170488,0.12283441491780449,1,0.07984429481751235,1.0,1.0,,
ENSG00000130821,38384,detect_continuous,1e-06,0.26383388912046685,0.06727399543304824,1,0.03847187055255649,1.0,1.0,,
ENSG00000185825,38384,detect_continuous,1e-06,0.4106659024593581,0.06070608163676467,-1,-0.0033515467204242953,1.0,1.0,,
ENSG00000101986,38384,detect_continuous,1e-06,0.02175385577323885,0.06505952996783904,1,0.04456397111870264,1.0,1.0,,
ENSG00000067829,38384,detect_continuous,1e-06,0.23155481450604418,0.03915460415392529,1,0.019211269329868146,1.0,1.0,,
ENSG00000180879,38384,detect_continuous,1e-06,0.6280481450604418,0.10684965375416626,1,0.040640746879040596,1.0,1.0,,
ENSG00000198910,38384,detect_continuous,1e-06,0.016960191746561066,0.14142894255039148,-1,-0.05087046840738137,1.0,0.9583333333333334,,
ENSG00000089820,38384,detect_continuous,1e-06,0.08188307628178408,0.07067997656909537,1,0.03225832021496829,1.0,1.0,,
ENSG00000102030,38384,detect_continuous,1e-06,0.20258441017090453,0.03286048689900501,-1,-0.008586419488338694,1.0,1.0,,
ENSG00000102032,38384,detect_continuous,1e-06,0.014902042517715715,0.07048145891022337,1,0.02966846603670397,1.0,1.0,,
ENSG00000172534,38384,detect_continuous,1e-06,0.1014745727386411,0.0894155616638563,1,0.07590277914646805,1.0,1.0,,
ENSG00000177854,38384,detect_continuous,1e-06,0.04155377240516882,0.07834393655807052,1,0.056729690969536804,1.0,1.0,,
ENSG00000184216,38384,detect_continuous,1e-06,0.06666840350145894,0.0687151452777199,1,0.03371811675925564,1.0,1.0,,
ENSG00000169057,38384,detect_continuous,1e-06,0.21141621508962066,0.05629751488183274,-1,-0.020635287541742566,1.0,1.0,,
ENSG00000196924,38384,detect_continuous,1e-06,0.21964881200500208,0.06119407887154423,-1,-0.014835393978381024,1.0,1.0,,
ENSG00000102119,38384,detect_continuous,1e-06,0.14391413088786995,0.07830547648033345,1,0.07324639131164622,1.0,1.0,,
ENSG00000147403,38384,detect_continuous,1e-06,0.894565443934973,0.1887108930920026,1,0.06726729731488179,1.0,1.0,,
ENSG00000280195,38384,detect_continuous,1e-06,0.006903918299291371,0.06752761124360664,1,0.030814250913537154,1.0,1.0,low_coverage_expr,
ENSG00000013563,38384,detect_continuous,1e-06,0.04632138390996248,0.06865481299938772,1,0.03444013048763285,1.0,1.0,,
ENSG00000102125,38384,detect_continuous,1e-06,0.08013755731554814,0.07573728679695428,1,0.017158716329828922,1.0,1.0,,
ENSG00000197180,38384,detect_continuous,1e-06,0.15613276365152146,0.07148024094631282,1,0.049945680900682715,1.0,1.0,,
ENSG00000071553,38384,detect_continuous,1e-06,0.3762765735723218,0.06511430532438145,1,0.025099954400278415,1.0,1.0,,
ENSG00000203879,38384,detect_continuous,1e-06,0.1381825760733639,0.046418316159917754,1,0.02556677699121015,1.0,1.0,,
ENSG00000071859,38384,detect_continuous,1e-06,0.13766152563568154,0.03438493314460547,1,0.009630691167346966,1.0,1.0,,
ENSG00000130827,38384,detect_continuous,1e-06,0.01792413505627345,0.08179765042679898,-1,-0.02077270958510029,1.0,1.0,,
ENSG00000196976,38384,detect_continuous,1e-06,0.16840350145894123,0.07990893913832856,1,0.05699466865624314,1.0,1.0,,
ENSG00000102178,38384,detect_continuous,1e-06,0.08302938724468528,0.08518488331065063,1,0.06043516950575028,1.0,1.0,,
ENSG00000126903,38384,detect_continuous,1e-06,0.047597957482284285,0.0916765680404162,1,0.07092474062178872,1.0,1.0,,
ENSG00000071889,38384,detect_continuous,1e-06,0.1317736556898708,0.05793176143471077,1,0.014806477169924547,1.0,1.0,,
ENSG00000160211,38384,detect_continuous,1e-06,0.07148812005002084,0.10778122174784849,1,0.10152028270085196,1.0,1.0,,
ENSG00000269335,38384,detect_continuous,1e-06,0.04426323468111713,0.05185741221432599,1,0.02707150402289242,1.0,1.0,,
ENSG00000130826,38384,detect_continuous,1e-06,0.07286890370987911,0.06578175955483948,1,0.034395587737282504,1.0,1.0,,
ENSG00000130830,38384,detect_continuous,1e-06,0.05799291371404752,0.06589107987335448,1,0.00840238756747945,1.0,1.0,,
ENSG00000185010,38384,detect_continuous,1e-06,0.056299499791579825,0.07487511178936355,1,0.057894838784569275,1.0,1.0,,
ENSG00000165775,38384,detect_continuous,1e-06,0.25687786577740723,0.07058043025410023,-1,-0.01750045608381041,1.0,1.0,,
ENSG00000182712,38384,detect_continuous,1e-06,0.11731450604418507,0.10028671856423099,1,0.07153606412184435,1.0,1.0,,
ENSG00000214827,38384,detect_continuous,1e-06,0.0072947061275531475,0.1020292097162403,-1,-0.030489441735453735,1.0,1.0,low_coverage_expr,
ENSG00000185515,38384,detect_continuous,1e-06,0.09407565652355147,0.05943013573530096,1,0.03505324436155961,1.0,1.0,,
ENSG00000155959,38384,detect_continuous,1e-06,0.15472592746977906,0.05663449058513859,1,0.022272880920372076,1.0,1.0,,
ENSG00000155961,38384,detect_continuous,1e-06,0.007503126302626094,0.14179656576594918,1,0.13310989842406246,1.0,1.0,low_coverage_expr,
ENSG00000155962,38384,detect_continuous,1e-06,0.007815756565235515,0.11476843901254988,1,0.04331762717864772,1.0,1.0,low_coverage_expr,
ENSG00000277150,38384,detect_continuous,1e-06,0.015188620258441017,0.07917657763150326,1,0.03966810126170888,1.0,1.0,,
ENSG00000224533,38384,detect_continuous,1e-06,0.008571279699874947,0.10844710547472425,-1,-0.04757351517617011,1.0,0.75,low_coverage_expr,
ENSG00000185973,38384,detect_continuous,1e-06,0.09076698624426845,0.05644383238003561,1,0.007953139583952586,1.0,1.0,,
ENSG00000124333,38384,detect_continuous,1e-06,0.10355877448937056,0.05857309333559497,1,0.0486092819722019,1.0,1.0,,
ENSG00000129824,38384,detect_continuous,1e-06,0.2581023343059608,0.08300835709712967,1,0.012897484846345482,1.0,1.0,,
ENSG00000067646,38384,detect_continuous,1e-06,0.03702063359733222,0.08949820555245105,-1,-0.014966323034141221,1.0,1.0,,
ENSG00000231535,38384,detect_continuous,1e-06,0.08016360983743226,0.14881772413374295,-1,-0.0915752431887546,1.0,1.0,,
ENSG00000092377,38384,detect_continuous,1e-06,0.032305127136306795,0.11253164334873432,-1,-0.05645695152694769,1.0,1.0,,
ENSG00000273906,38384,detect_continuous,1e-06,0.016178616090037515,0.08489733037291523,1,0.04528933696819527,1.0,1.0,,
ENSG00000099725,38384,detect_continuous,1e-06,0.02110254272613589,0.1494010902726528,-1,-0.10872400233688007,1.0,1.0,,
ENSG00000114374,38384,detect_continuous,1e-06,0.1343789078782826,0.11471719795218462,-1,-0.04461597702192596,1.0,1.0,,
ENSG00000067048,38384,detect_continuous,1e-06,0.0629168403501459,0.08240656308146486,1,0.011327221245467464,1.0,1.0,,
ENSG00000183878,38384,detect_continuous,1e-06,0.12023238849520633,0.13635210137949483,-1,-0.04877323456211925,1.0,1.0,,
ENSG00000154620,38384,detect_continuous,1e-06,0.015918090871196333,0.0801542490114418,1,0.015375611935566434,1.0,1.0,,
ENSG00000165246,38384,detect_continuous,1e-06,0.08198728636932055,0.1137004554050082,-1,-0.04512864518731949,1.0,1.0,,
ENSG00000286201,38384,detect_continuous,1e-06,0.009847853272196748,0.07510776102151433,-1,-0.021820224904008215,1.0,0.625,low_coverage_expr,
ENSG00000176728,38384,detect_continuous,1e-06,0.22165485619007919,0.1345252498440492,-1,-0.02306570024076092,1.0,1.0,,
ENSG00000012817,38384,detect_continuous,1e-06,0.04869216340141726,0.10305087522716712,-1,-0.036562181204184814,1.0,1.0,,
ENSG00000288049,38384,detect_continuous,1e-06,0.006513130471029595,0.11900368557313495,1,0.025031683230424387,1.0,1.0,low_coverage_expr,
ENSG00000229236,38384,detect_continuous,1e-06,0.02188411838265944,0.13880763766418322,-1,-0.06820007946191103,1.0,1.0,,
ENSG00000198692,38384,detect_continuous,1e-06,0.07813151313047104,0.07811023921848287,1,0.035736279189941524,1.0,1.0,,
ENSG00000198888,38384,detect_continuous,1e-06,0.9978376406836181,0.07864884825053112,1,0.0379571356045962,1.0,1.0,,
ENSG00000198763,38384,detect_continuous,1e-06,0.9989578991246353,0.085159479467268,1,0.02408146624459413,1.0,1.0,,
