shape,N,null_type,replicate,seed,benchmark,permutation_scheme,n_permutations,config_B,config_delta_deg,time,p_value,Spatial_Score,Coverage,coverage_bg,coverage_fg,abstain_flag,abstain_reason,schema_version
disk,1000,iid,66,108,calibration,global,100,72,60.0,1.2430510520935059,0.3465346534653465,0.08241583819169142,0.168,,0.9861111111111112,False,ok,2.0
disk,1000,iid,67,109,calibration,global,100,72,60.0,1.25065279006958,0.0891089108910891,0.09619997682571996,0.152,,0.9861111111111112,False,ok,2.0
disk,1000,iid,68,110,calibration,global,100,72,60.0,1.2325749397277832,0.9702970297029703,0.06258228478536207,0.15,,0.9583333333333334,False,ok,2.0
disk,1000,iid,69,111,calibration,global,100,72,60.0,1.2404017448425293,0.9801980198019802,0.060928494308717454,0.142,,0.875,False,ok,2.0
disk,1000,iid,70,112,calibration,global,100,72,60.0,1.2553257942199707,0.8613861386138614,0.06758950736900442,0.147,,1.0,False,ok,2.0
disk,1000,iid,71,113,calibration,global,100,72,60.0,1.2567059993743896,0.8118811881188119,0.06890633661195744,0.148,,0.9861111111111112,False,ok,2.0
disk,1000,iid,72,114,calibration,global,100,72,60.0,1.2300808429718018,0.40594059405940597,0.08126307210466846,0.154,,1.0,False,ok,2.0
disk,1000,iid,73,115,calibration,global,100,72,60.0,1.2370679378509521,0.2079207920792079,0.0871811679693769,0.144,,0.9722222222222222,False,ok,2.0
disk,1000,iid,74,116,calibration,global,100,72,60.0,1.2389581203460693,0.13861386138613863,0.09129985897537791,0.144,,0.9583333333333334,False,ok,2.0
disk,1000,iid,75,117,calibration,global,100,72,60.0,1.2437937259674072,0.3069306930693069,0.0874795540671454,0.152,,1.0,False,ok,2.0
disk,1000,iid,76,118,calibration,global,100,72,60.0,1.249549150466919,0.7920792079207921,0.07060013438949937,0.159,,1.0,False,ok,2.0
disk,1000,iid,77,119,calibration,global,100,72,60.0,1.2453351020812988,0.09900990099009901,0.09504913837692527,0.143,,0.9722222222222222,False,ok,2.0
disk,1000,iid,78,120,calibration,global,100,72,60.0,1.2320430278778076,0.1782178217821782,0.09010934329822999,0.146,,1.0,False,ok,2.0
disk,1000,iid,79,121,calibration,global,100,72,60.0,1.2335710525512695,0.16831683168316833,0.08972409542709248,0.14,,1.0,False,ok,2.0
disk,1000,iid,80,122,calibration,global,100,72,60.0,1.2268710136413574,0.12871287128712872,0.09422200521507539,0.154,,0.9444444444444444,False,ok,2.0
disk,1000,iid,81,123,calibration,global,100,72,60.0,1.2401442527770996,0.6732673267326733,0.07338925408271973,0.174,,1.0,False,ok,2.0
disk,1000,iid,82,124,calibration,global,100,72,60.0,1.2582688331604004,0.7821782178217822,0.06907738163274663,0.151,,0.9027777777777778,False,ok,2.0
disk,1000,iid,83,125,calibration,global,100,72,60.0,1.269789218902588,0.8415841584158416,0.06719471390939954,0.141,,1.0,False,ok,2.0
disk,1000,iid,84,126,calibration,global,100,72,60.0,1.244156837463379,0.8118811881188119,0.06949282830057804,0.165,,1.0,False,ok,2.0
disk,1000,iid,85,127,calibration,global,100,72,60.0,1.3016769886016846,0.297029702970297,0.08620764357391031,0.154,,1.0,False,ok,2.0
disk,1000,iid,86,128,calibration,global,100,72,60.0,1.3018591403961182,0.1782178217821782,0.09053995366050026,0.137,,1.0,False,ok,2.0
disk,1000,iid,87,129,calibration,global,100,72,60.0,1.2454028129577637,0.1782178217821782,0.08878775569736957,0.142,,1.0,False,ok,2.0
disk,1000,iid,88,130,calibration,global,100,72,60.0,1.2378709316253662,0.38613861386138615,0.08180050143625968,0.14,,1.0,False,ok,2.0
disk,1000,iid,89,131,calibration,global,100,72,60.0,1.2424640655517578,0.6831683168316832,0.07249925440897291,0.139,,1.0,False,ok,2.0
disk,1000,iid,90,132,calibration,global,100,72,60.0,1.234518051147461,0.5841584158415841,0.07387693566960798,0.139,,1.0,False,ok,2.0
disk,1000,iid,91,133,calibration,global,100,72,60.0,1.2372772693634033,0.49504950495049505,0.07808220740326019,0.147,,0.9583333333333334,False,ok,2.0
disk,1000,iid,92,134,calibration,global,100,72,60.0,1.2350149154663086,0.009900990099009901,0.12359360266186345,0.161,,0.9861111111111112,False,ok,2.0
disk,1000,iid,93,135,calibration,global,100,72,60.0,1.2434229850769043,0.18811881188118812,0.09060073967970945,0.161,,1.0,False,ok,2.0
disk,1000,iid,94,136,calibration,global,100,72,60.0,1.2374918460845947,0.8118811881188119,0.06779244989246497,0.142,,0.9444444444444444,False,ok,2.0
disk,1000,iid,95,137,calibration,global,100,72,60.0,1.237912654876709,0.4158415841584158,0.08273981685002745,0.141,,1.0,False,ok,2.0
disk,1000,iid,96,138,calibration,global,100,72,60.0,1.2345857620239258,0.4752475247524752,0.0821015819429811,0.16,,1.0,False,ok,2.0
disk,1000,iid,97,139,calibration,global,100,72,60.0,1.237813949584961,0.09900990099009901,0.09765658354957979,0.165,,1.0,False,ok,2.0
disk,1000,iid,98,140,calibration,global,100,72,60.0,1.2323799133300781,0.6534653465346535,0.07518744926049084,0.133,,0.9722222222222222,False,ok,2.0
disk,1000,iid,99,141,calibration,global,100,72,60.0,1.2353930473327637,0.42574257425742573,0.0806987464859046,0.162,,0.9861111111111112,False,ok,2.0
